B-GOAL,B-SurgicalProcedure,B-PI,B-IM,B-SurgicalPreparation
null,null,Trauma,null,null
null,null,Trauma,null,null
null,null,hematoma,null,null
null,null,L.,null,null
null,null,Neurosurgery,null,null
null,null,null,33143,null
null,null,hematoma,null,null
null,null,trauma,null,null
null,null,hematomas,null,null
null,null,trauma,null,null
null,null,CSF,null,null
drainage,null,null,null,null
null,null,hematoma,null,null
null,null,null,CT,null
null,null,hematoma,null,null
treatment,null,null,null,null
management,null,null,null,null
null,null,hematoma,null,null
null,null,injury,null,null
null,null,hematoma,null,null
treatment,null,null,null,null
null,null,null,BY,null
null,null,hematomas,null,null
null,null,trauma,null,null
null,null,hypertension,null,null
null,null,hematomas,null,null
treatment,null,null,null,null
null,null,average,null,null
null,null,trauma,null,null
null,null,hematoma,null,null
null,null,null,http://dx.doi.org/10.1016/j.tcr.2017.01.005,null
null,null,null,2352,null
null,null,null,BY-NC,null
null,null,Trauma,null,null
null,hemostasis,null,null,null
null,null,hemorrhage,null,null
null,null,capillaries,null,null
null,null,hemorrhage,null,null
null,null,impaired,null,null
null,null,hemiparesis,null,null
null,null,injury,null,null
null,null,CSF,null,null
therapy,null,null,null,null
null,craniotomy,null,null,null
null,null,tion,null,null
null,null,Neurosurgeons,null,null
treatment,null,null,null,null
null,craniostomy,null,null,null
null,craniotomy,null,null,null
drainage,null,null,null,null
null,null,pri-,null,null
evaluation,null,null,null,null
null,null,null,CT,null
null,null,hematomas,null,null
null,null,treated,null,null
null,null,hematomas,null,null
Treatment,null,null,null,null
null,null,hematoma,null,null
treatment,null,null,null,null
null,null,hematoma,null,null
null,null,hematoma,null,null
null,null,impairment,null,null
null,null,hemianopsia,null,null
examination,null,null,null,null
null,null,null,CT,null
null,null,hematoma,null,null
null,null,hematoma,null,null
drained,null,null,null,null
null,null,null,null,general
null,null,null,null,anesthesia
null,null,null,null,sterile
null,null,hematoma,null,null
examination,null,null,null,null
null,null,null,CT,null
imaging,null,null,null,null
null,null,hematoma,null,null
treatment,null,null,null,null
management,null,null,null,null
null,null,hematomas,null,null
drainage,null,null,null,null
null,null,craniotomies,null,null
null,null,hemorrhage,null,null
null,null,infection,null,null
null,craniostomy,null,null,null
drainage,null,null,null,null
null,craniostomy,null,null,null
treatment,null,null,null,null
treatment,null,null,null,null
10–20,null,null,null,null
treatment,null,null,null,null
null,null,hematomas,null,null
null,null,Trauma,null,null
null,null,null,CT,null
null,null,hematoma,null,null
null,null,herniation,null,null
null,null,herniation,null,null
null,null,hematoma,null,null
drainage,null,null,null,null
null,null,hemorrhage,null,null
null,null,hematoma,null,null
treatment,null,null,null,null
null,null,hematoma,null,null
null,null,hematoma,null,null
management,null,null,null,null
null,null,materials,null,null
null,null,pertinent,null,null
null,null,A.A.,null,null
management,null,null,null,null
null,null,Trauma,null,null
null,null,D.,null,null
management,null,null,null,null
null,null,hematoma,null,null
null,null,J.L.,null,null
null,null,L.,null,null
null,null,hematoma,null,null
null,null,hematoma,null,null
lining,null,null,null,null
null,null,hematoma,null,null
null,null,J.C.,null,null
null,null,D.,null,null
Drazin,null,null,null,null
treatment,null,null,null,null
null,null,hematomas,null,null
null,null,hematomas,null,null
null,craniostomy,null,null,null
null,null,hematoma,null,null
null,null,P.,null,null
Treatment,null,null,null,null
null,null,Hematoma,null,null
null,null,Injury,null,null
R.,null,null,null,null
null,null,null,M.I.,null
therapy,null,null,null,null
null,null,hematoma,null,null
null,null,115,null,null
981–984,null,null,null,null
null,null,D.,null,null
null,null,http://dx.doi.org/10.3109/02688697.2013.812184,null,null
null,null,115,null,null
null,null,hematoma,null,null
Rusconi,null,null,null,null
null,null,L.,null,null
null,null,hemorrhagic,null,null
drainage,null,null,null,null
null,null,hematomas,null,null
null,null,D.,null,null
null,null,F.,null,null
null,null,electronic,null,null
null,craniostomy,null,null,null
null,null,http://dx.doi.org/10.1016/j.clineuro.2015.05.037,null,null
treatment,null,null,null,null
null,null,hematoma,null,null
null,null,null,(2001),null
371–381,null,null,null,null
null,null,P.,null,null
management,null,null,null,null
null,null,therapies,null,null
