B-GOAL,B-SurgicalProcedure,B-IM,B-PI
null,null,null,Trauma
null,null,null,Trauma
null,null,null,trauma
null,null,null,injury
Zachary,null,null,null
null,null,WV,null
null,Surgery,null,null
null,null,WV,null
null,null,null,trauma
null,null,null,injury
null,null,null,trauma
null,null,null,injury
null,null,null,trauma
null,null,null,injuries
null,null,null,trauma
null,null,null,transection
null,null,null,Injury
null,laparotomy,null,null
repair,null,null,null
null,null,null,rupture
null,null,cholangiogram,null
null,null,null,extravasation
null,null,null,T-
removal,null,null,null
null,null,BY,null
null,null,null,Disruption
null,null,null,trauma
null,null,null,injuries
imaging,null,null,null
null,null,null,disruption
null,laparotomy,null,null
null,null,null,injury
null,Surgery,null,null
null,null,WV,null
null,null,null,http://dx.doi.org/10.1016/j.tcr.2015.10.004
null,null,2352,null
null,null,null,Trauma
null,null,null,trauma
null,null,null,injury
null,null,null,trauma
null,null,null,tachycardic
null,null,12.9,null
null,null,CT,null
null,null,null,rupture
null,null,null,contusions
null,null,null,injury
null,null,null,rupture
management,null,null,null
null,null,null,ruptured
null,laparotomy,null,null
null,null,null,distended
null,null,null,rupture
null,null,null,hematoma
null,null,cholangiogram,null
null,null,null,distended
null,null,null,hemorrhage
1b,null,null,null
null,null,null,extravasation
null,null,CT,null
null,null,null,trauma
null,null,cholangiogram,null
null,null,CT,null
drainage,null,null,null
null,null,null,trauma
null,null,null,transection
null,null,null,Injury
null,laparotomy,null,null
repair,null,null,null
null,null,null,rupture
null,null,null,Trauma
null,null,null,injury
null,null,null,extravasation
repair,null,null,null
null,laparotomy,null,null
ventilator,null,null,null
null,null,null,neurotrauma
drained,null,null,null
null,gastrostomy,null,null
null,gastrostomy,null,null
null,tracheostomy,null,null
null,laparotomy,null,null
null,gastrostomy,null,null
removal,null,null,null
null,null,null,eign
Evaluation,null,null,null
drainage,null,null,null
null,null,null,pain
null,null,CT,null
null,null,urogram,null
null,null,null,injury
null,null,null,infection
null,null,cholangiogram,null
null,null,null,injury
null,null,null,Injuries
null,null,null,trauma
null,null,null,injury
null,null,null,trauma
null,null,null,trauma
management,null,null,null
null,null,null,injury
null,null,null,tion
null,null,null,injury
null,null,CT,null
imaging,null,null,null
null,null,CT,null
null,null,ultrasound,null
null,null,(CTPH),null
null,null,raphy,null
null,null,(ERCP),null
MRI,null,null,null
null,null,null,aspiration
evaluation,null,null,null
null,null,null,inability
null,null,null,injury
null,laparotomy,null,null
null,null,null,injury
null,null,null,trauma
null,null,null,injury
null,null,null,nausea
null,null,null,vomiting
null,null,null,fever
null,null,null,infection
null,null,null,leakage
null,null,null,hypertension
null,null,null,injury
null,null,null,trauma
null,null,null,injury
null,null,null,Trauma
null,null,null,D.
null,null,null,rupture
W.S.,null,null,null
null,null,null,trauma
null,null,null,injury
null,null,null,trauma
null,laparotomy,null,null
null,null,null,Trauma
null,null,null,trauma
null,null,null,injury
null,null,null,injury
null,null,null,trauma
null,null,null,Trauma
null,null,null,Injuries
null,null,null,injuries
null,null,null,Trauma
B.M.,null,null,null
null,null,null,injury
null,null,null,trauma
null,null,null,O.
null,null,null,P.
null,null,null,P.
treatment,null,null,null
management,null,null,null
null,null,null,trauma
null,null,null,P.
null,null,null,trauma
null,null,null,F.
null,null,null,trauma
null,null,null,903–907
R.,null,null,null
null,null,null,O.
null,null,null,rupture
null,null,null,trauma
repair,null,null,null
null,null,null,injuries
null,null,null,trauma
