B-IM,B-SurgicalProcedure,B-GOAL,B-PI,B-SurgicalPreparation
null,null,null,Trauma,null
null,null,null,Trauma,null
null,null,null,symphysis,null
null,null,null,disruption,null
null,null,null,rupture,null
null,K.,null,null,null
null,Surgery,null,null,null
CA,null,null,null,null
null,Surgery,null,null,null
null,null,Permanente,null,null
CA,null,null,null,null
null,null,null,symphysis,null
null,null,null,rupture,null
null,null,null,symphysis,null
null,null,null,disruption,null
null,null,null,trauma,null
null,null,null,rupture,null
null,null,null,symphysis,null
null,null,repair,null,null
null,null,null,symphysis,null
null,null,null,trauma,null
null,null,null,Disruption,null
null,null,null,symphysis,null
null,null,null,trauma,null
null,null,null,symphysis,null
null,null,null,injury,null
null,null,null,rupture,null
null,null,null,injury,null
null,null,null,injury,null
null,null,null,hypertension,null
null,null,null,pain,null
null,null,null,painful,null
null,null,null,hematuria,null
null,null,null,ecchymosis,null
null,null,null,swelling,null
null,null,null,distension,null
null,null,null,tenderness,null
ultrasound,null,null,null,null
null,null,examination,null,null
CT,null,null,null,null
angiogram,null,null,null,null
urogram,null,null,null,null
null,null,null,symphysis,null
CT,null,null,null,null
null,null,imaging,null,null
null,null,null,hematoma,null
null,Surgery,null,null,null
null,null,null,4860,null
CA,null,null,null,null
https://doi.org/10.1016/j.tcr.2020.100299,null,null,null,null
2352,null,null,null,null
BY-NC,null,null,null,null
null,null,null,Trauma,null
CT,null,null,null,null
null,null,imaging,null,null
null,null,null,symphysis,null
null,null,null,Hematoma,null
null,null,null,extravasation,null
null,null,null,extravasation,null
null,null,null,hematoma,null
null,null,Cauterization,null,null
null,null,arteriogram,null,null
null,null,null,extravasation,null
null,null,arteriogram,null,null
null,null,null,extravasation,null
null,null,null,injury,null
null,null,null,hematuria,null
null,null,treatment,null,null
null,null,exploration,null,null
null,null,repair,null,null
null,null,null,hematoma,null
null,null,repair,null,null
null,null,null,leak,null
null,hemostasis,null,null,null
null,null,closure,null,null
null,null,removal,null,null
null,null,exploration,null,null
null,null,null,trauma,null
null,null,null,symphysis,null
null,null,null,disruption,null
null,null,null,null,sterile
null,null,null,symphysis,null
null,null,reduction,null,null
null,null,null,symphysis,null
null,null,closure,null,null
null,surgery,null,null,null
radiographic,null,null,null,null
null,null,null,injury,null
null,null,null,rupture,null
null,null,null,hyperﬂexed,null
null,null,null,Trauma,null
null,null,Arteriogram,null,null
null,null,null,extravasation,null
radiograph,null,null,null,null
null,null,repair,null,null
null,null,null,tensile,null
null,null,null,disruption,null
null,null,null,symphysis,null
null,null,null,symphysis,null
null,null,null,rupture,null
null,null,null,mechanisms,null
null,null,null,injuries,null
null,null,null,injury,null
null,null,null,Trauma,null
radiograph,null,null,null,null
null,null,null,symphysis,null
null,null,null,injuries,null
null,null,null,symphysis,null
null,null,null,disruption,null
null,null,null,rupture,null
null,null,null,injury,null
null,null,null,pain,null
null,null,null,ecchymosis,null
null,null,null,hematuria,null
null,null,null,injury,null
null,null,repair,null,null
null,null,null,symphysis,null
null,null,null,injuries,null
null,null,null,trauma,null
null,null,null,R.J.,null
null,null,null,fractures,null
radiography,null,null,null,null
null,null,management,null,null
(1986),null,null,null,null
null,null,null,Keskın,null
null,null,null,disruption,null
null,null,null,symphysis,null
null,null,null,https://doi.org/10.1148/radiology.160.2.3726125,null
null,null,null,https://doi.org/10.1155/2015/812132,null
null,null,null,Hierholzer,null
null,null,null,disruption,null
null,null,null,symphysis,null
null,null,null,injury,null
null,null,null,Hussain,null
null,null,null,897–901,null
null,null,null,D.,null
95022007000300028,null,null,null,null
null,null,null,W.B.,null
J.G.,null,null,null,null
null,null,null,Trauma,null
null,null,null,disruption,null
null,null,null,Trauma,null
null,null,null,P.D.,null
null,null,null,symphysis,null
null,null,null,Injury,null
null,null,null,Trauma,null
null,null,null,A.B.,null
null,null,null,McConathy,null
null,null,null,hernia,null
null,null,null,pneumothorax,null
