Attributes,Values
B-PI , Trauma
B-PI , Trauma
B-GOAL , treatment
B-PI , fracture
B-GOAL , R.
B-PI , Trauma
B-SurgicalProcedure , Surgery
B-PI , Trauma
B-SurgicalProcedure , Surgery
B-PI , fractures
B-PI , fractures
B-PI , fractures
B-PI , fractures
B-PI , fracture
B-PI , fracture
B-PI , fractures
B-PI , fracture
B-PI , fractures
B-PI , fractures
B-PI , fracture
B-PI , fracture
B-PI , pain
B-PI , inability
B-PI , trauma
B-GOAL , examination
B-PI , swelling
B-PI , ecchymosis
B-PI , tenderness
B-PI , painful
B-PI , trauma
B-IM , Radiographs
B-PI , fracture
B-PI , fracture
B-SurgicalProcedure , surgery
B-PI , Trauma
B-SurgicalProcedure , Surgery
B-IM , 249203
B-PI , https://doi.org/10.1016/j.tcr.2020.100348
B-IM , 2352
B-IM , BY-NC
B-PI , Trauma
B-IM , radiograph
B-PI , fracture
B-IM , radiograph
B-PI , fracture
B-IM , radiograph
B-IM , radiograph
B-GOAL , reduction
B-PI , PFNA2
B-IM , Radiographs
B-PI , Trauma
B-IM , radiograph
B-PI , PFNA2
B-GOAL , reduction
B-IM , radiograph
B-PI , PFNA2
B-GOAL , reduction
B-PI , fractures
B-PI , hypertension
B-PI , osteoporosis
B-SurgicalProcedure , surgery
B-SurgicalProcedure , surgery
B-GOAL , treatment
B-GOAL , treatment
B-PI , Trauma
B-PI , fractures
B-PI , fracture
B-PI , fractures
B-GOAL , management
B-PI , fractures
B-PI , Trauma
B-PI , pain
B-PI , fractures
B-PI , fracture
B-PI , fracture
B-PI , fracture
B-PI , trauma
B-PI , question
B-PI , fractures
B-PI , fracture
B-PI , fracture
B-PI , accepting
B-PI , question
B-PI , institu-
B-PI , materials
B-PI , D.
B-PI , N.
B-PI , fracture
B-PI , fracture
B-PI , fracture
B-PI , Fracture
B-PI , Trauma
B-GOAL , R.
B-PI , fractures
B-PI , Trauma
B-PI , P.
B-PI , fractures
B-PI , fractures
B-GOAL , Ş.
B-PI , F.
B-PI , Trauma
B-PI , fracture
B-GOAL , treatment
B-PI , fractures
B-PI , 128–133
B-PI , F.
B-GOAL , treatment
B-PI , fractures
B-GOAL , R.
B-PI , P.
B-PI , P.
B-PI , fractures
B-PI , Injury
B-PI , Injury
B-GOAL , R.
B-PI , Trauma
B-PI , N.
B-PI , fractures
B-IM , MOJOR
B-PI , fractures
B-PI , fractures
B-PI , Injury
