Attributes,Values
B-PI , Trauma
B-PI , Trauma
B-PI , trauma
B-PI , disruption
B-PI , L.
B-PI , L.
B-SurgicalProcedure , Surgery
B-IM , B15
B-GOAL , 2TT
B-PI , Pneumothorax
B-PI , penetrating
B-PI , trauma
B-PI , trauma
B-SurgicalPreparation , general
B-PI , trauma
B-PI , trauma
B-IM , CT
B-PI , haemopneumothorax
B-PI , disruption
B-IM , radiograph
B-IM , echocardiography
B-PI , penetrating
B-PI , trauma
B-PI , trauma
B-GOAL , management
B-GOAL , imaging
B-PI , trauma
B-PI , injury
B-PI , trauma
B-GOAL , drained
B-PI , injury
B-PI , injury
B-PI , trauma
B-PI , acceleration
B-PI , injury
B-PI , injury
B-PI , contusion
B-IM , echocardiography
B-GOAL , diagnosis
B-GOAL , imaging
B-PI , trauma
B-PI , injury
B-PI , disruption
B-PI , injury
B-IM , B15
B-GOAL , 2TT
B-IM , 2352
B-IM , BY-NC
B-PI , Trauma
B-IM , CT
B-GOAL , haemothorax
B-PI , fracture
B-PI , disruption
B-IM , radiographs
B-SurgicalPreparation , general
B-PI , trauma
B-PI , trauma
B-GOAL , imaging
B-GOAL , haemothorax
B-PI , trauma
B-IM , CT
B-PI , fracture
B-PI , extravasation
B-PI , injury
B-GOAL , 1b
B-PI , injury
B-PI , fracture
B-GOAL , imaging
B-GOAL , drained
B-GOAL , haemothorax
B-GOAL , transfusion
B-GOAL , drainage
B-GOAL , haemothorax
B-PI , hemithorax
B-PI , injury
B-PI , disruption
B-IM , radiograph
B-IM , CT
B-GOAL , imaging
B-GOAL , MRI
B-PI , cardiomyopathy
B-PI , injury
B-PI , contusion
B-PI , Trauma
B-IM , CT
B-GOAL , imaging
B-GOAL , MRI
B-PI , excluded
B-IM , echocardiography
B-GOAL , drainage
B-PI , loculations
B-PI , contusion
B-PI , injury
B-IM , echocardiography
B-PI , trauma
B-PI , trauma
B-PI , injuries
B-PI , trauma
B-PI , injuries
B-PI , disruption
B-PI , displacement
B-PI , injury
B-PI , injury
B-GOAL , treatment
B-GOAL , Treatment
B-GOAL , therapy
B-PI , injury
B-PI , trauma
B-PI , injury
B-PI , constructed
B-PI , trauma
B-PI , F.
B-PI , trauma
B-PI , Trauma
B-GOAL , R.
B-PI , Fadel
B-PI , injuries
B-PI , 113–119
B-GOAL , R.
B-PI , injury
B-IM , 287–295
