B-PI,B-IM,B-SurgicalProcedure,B-GOAL
Trauma,null,null,null
Trauma,null,null,null
null,null,null,treatment
null,null,null,diagnosis
injury,null,null,null
trauma,null,null,null
Pain,null,null,null
null,null,Surgery,null
injury,null,null,null
trauma,null,null,null
null,null,null,evaluation
injuries,null,null,null
injuries,null,null,null
null,null,null,treatment
null,null,null,diagnosis
trauma,null,null,null
injury,null,null,null
null,null,null,drainage
null,BY,null,null
null,null,null,evaluation
injuries,null,null,null
injuries,null,null,null
null,ultrasound,null,null
null,(CT),null,null
null,null,null,imaging
injuries,null,null,null
injuries,null,null,null
null,null,null,diagnosis
null,null,null,treatment
null,null,null,diagnosis
null,(ERCP),null,null
null,null,surgery,null
injury,null,null,null
trauma,null,null,null
injury,null,null,null
trauma,null,null,null
injury,null,null,null
null,CT,null,null
injury,null,null,null
null,null,Surgery,null
Korea,null,null,null
null,2352,null,null
null,BY-NC,null,null
Trauma,null,null,null
transection,null,null,null
null,ERCP,null,null
disruption,null,null,null
leakage,null,null,null
null,null,null,drainage
null,CT,null,null
injury,null,null,null
vol-,null,null,null
null,null,null,treatment
null,ERCP,null,null
leakage,null,null,null
disruption,null,null,null
null,ERCP,null,null
leakage,null,null,null
leakage,null,null,null
Trauma,null,null,null
injury,null,null,null
injury,null,null,null
trauma,null,null,null
trauma,null,null,null
null,null,null,applied
Disruption,null,null,null
injuries,null,null,null
leakage,null,null,null
disruption,null,null,null
trauma,null,null,null
pain,null,null,null
injury,null,null,null
aneurysm,null,null,null
injury,null,null,null
parenchymal,null,null,null
injury,null,null,null
null,null,null,management
contusion,null,null,null
disruption,null,null,null
null,null,null,treatment
injuries,null,null,null
null,null,null,reconstruction
null,null,null,drainage
null,ERCP,null,null
null,null,null,treatment
null,null,null,treatment
injury,null,null,null
null,ERCP,null,null
null,null,null,diagnosis
null,null,null,treatment
null,null,null,therapy
null,ERCP,null,null
null,ERCP,null,null
trauma,null,null,null
null,null,null,treatment
disruption,null,null,null
null,null,null,treatment
injury,null,null,null
null,null,surgery,null
null,ERCP,null,null
injury,null,null,null
trauma,null,null,null
injury,null,null,null
null,CT,null,null
null,null,null,treatment
null,null,surgery,null
null,null,null,drainage
injury,null,null,null
trauma,null,null,null
infection,null,null,null
null,null,null,treatment
null,null,surgery,null
Trauma,null,null,null
P.,null,null,null
trauma,null,null,null
injury,null,null,null
Trauma,null,null,null
classification,null,null,null
injuries,null,null,null
null,null,null,C.R.J.
Y.C.,null,null,null
J.L.,null,null,null
null,null,null,Management
injury,null,null,null
Trauma,null,null,null
774–778,null,null,null
null,null,null,management
trauma,null,null,null
N.,null,null,null
null,(2007),null,null
Fragulidis,null,null,null
disruption,null,null,null
null,null,null,R.
trauma,null,null,null
concise,null,null,null
9003–9011,null,null,null
null,CT,null,null
trauma,null,null,null
null,CT,null,null
injuries,null,null,null
J.C.,null,null,null
null,null,null,R.
N.,null,null,null
null,null,null,management
injury,null,null,null
Trauma,null,null,null
R.H.,null,null,null
R.J.,null,null,null
null,null,null,management
trauma,null,null,null
null,null,null,management
injury,null,null,null
null,null,null,R.
null,null,null,treatment
disruption,null,null,null
Trauma,null,null,null
disruption,null,null,null
null,null,null,treatment
injury,null,null,null
null,null,null,J.P.
W.P.,null,null,null
trauma,null,null,null
Trauma,null,null,null
N.,null,null,null
transection,null,null,null
trauma,null,null,null
null,null,null,treatment
