Attributes,Values
B-PI , Trauma
B-PI , Trauma
B-PI , pseudoaneurysm
B-PI , Fandinoa
B-PI , Pseudoaneurysm
B-PI , pseudoaneurysm
B-PI , lesion
B-PI , pain
B-IM , MR
B-SurgicalProcedure , surgery
B-SurgicalProcedure , surgery
B-SurgicalProcedure , surgery
B-SurgicalPreparation , general
B-PI , pain
B-IM , CT
B-PI , hematoma
B-PI , hematoma
B-PI , pseudoaneurysm
B-IM , angiogram
B-PI , pseudoaneurysm
B-PI , pseudoaneurysm
B-IM , angiogram
B-PI , hematoma
B-GOAL , drained
B-SurgicalProcedure , surgery
B-PI , pain
B-PI , hematoma
B-IM , 2352
B-IM , BY-NC
B-PI , J.C.
B-PI , Trauma
B-IM , CT
B-PI , hyperdense
B-PI , hematoma
B-PI , rupture
B-PI , hematoma
B-PI , pseudoaneurysm
B-PI , rupture
B-PI , hemorrhage
B-SurgicalProcedure , surgery
B-PI , hemorrhage
B-PI , hemorrhage
B-GOAL , achieving
B-PI , pseudoaneurysm
B-PI , aneurysm
B-PI , Pseudoaneurysm
B-PI , penetrating
B-PI , injuries
B-PI , trauma
B-PI , pseudoaneurysm
B-PI , injury
B-PI , injury
B-PI , deterioration
B-PI , hemorrhage
B-SurgicalProcedure , surgery
B-SurgicalProcedure , surgery
B-PI , injury
B-PI , pseudoaneurysm
B-PI , deterioration
B-PI , pseudoaneurysm
B-PI , pseudoaneurysm
B-PI , pain
B-SurgicalProcedure , surgery
B-PI , injury
B-PI , J.C.
B-PI , Trauma
B-IM , angiography
B-PI , pseudoaneurysm
B-IM , angiography
B-PI , pseudoaneurysm
B-PI , Trauma
B-PI , P.
B-GOAL , management
B-PI , pseudoaneurysm
B-PI , N.
B-GOAL , management
B-PI , D.
B-PI , pseudoaneurysm
B-PI , trauma
B-PI , Trauma
B-SurgicalProcedure , surgery
B-GOAL , treatment
B-PI , D.
B-PI , injury
B-SurgicalProcedure , K.
B-PI , pseudoaneurysm
