B-GOAL,B-IM,B-PI,B-SurgicalProcedure
null,null,Trauma,null
null,null,Trauma,null
null,null,injury,null
null,null,trauma,null
null,null,Trauma,null
null,null,Trauma,null
null,null,null,surgery
null,null,fracture,null
null,null,trauma,null
null,null,trauma,null
null,null,fracture,null
null,null,fracture,null
null,null,injury,null
null,null,trauma,null
null,null,trauma,null
null,null,fracture,null
null,null,fracture,null
null,null,fracture,null
null,null,fracture,null
null,null,fracture,null
null,null,injury,null
repaired,null,null,null
null,null,fracture,null
management,null,null,null
null,null,fracture,null
imaging,null,null,null
null,null,fracture,null
null,null,fracture,null
null,null,injury,null
null,null,fractures,null
null,null,injuries,null
null,null,trauma,null
null,null,injury,null
null,null,null,surgery
management,null,null,null
null,null,injuries,null
null,null,fractures,null
null,null,Trauma,null
null,FAST,null,null
null,null,pain,null
null,null,hematoma,null
null,x-ray,null,null
null,null,fracture,null
null,CT,null,null
null,null,fractures,null
null,CT,null,null
null,cystogram,null,null
null,2352,null,null
null,BY-NC,null,null
null,null,Trauma,null
null,null,fracture,null
null,X-ray,null,null
null,null,fracture,null
null,null,extravasation,null
reduction,null,null,null
null,null,fracture,null
null,null,fracture,null
null,null,fracture,null
repaired,null,null,null
null,null,fracture,null
reconstruction,null,null,null
null,null,injury,null
null,null,null,surgery
null,cystogram,null,null
null,null,extravasation,null
null,null,photograph,null
null,null,fracture,null
null,null,fracture,null
null,null,Trauma,null
null,X-ray,null,null
reduction,null,null,null
null,null,fractures,null
null,null,null,surgery
null,null,injury,null
null,null,fractures,null
null,null,fractures,null
null,null,trauma,null
null,null,trauma,null
null,null,injuries,null
null,null,fractures,null
null,null,injuries,null
null,null,injured,null
null,null,fractures,null
null,null,injuries,null
null,null,fractures,null
null,null,injuries,null
null,null,Injuries,null
null,null,contusion,null
null,null,rupture,null
null,null,Mechanisms,null
null,null,injury,null
null,null,trauma,null
null,null,Injuries,null
null,null,fracture,null
null,null,injury,null
null,null,herniation,null
null,null,symphysis,null
reduction,null,null,null
null,null,Trauma,null
null,null,injury,null
null,null,fracture,null
null,null,trauma,null
null,null,injury,null
null,urethrogram,null,null
null,null,injury,null
null,null,injury,null
null,null,hematuria,null
evaluation,null,null,null
null,null,Hematuria,null
null,null,injury,null
null,null,contusion,null
null,null,rupture,null
null,null,hematuria,null
null,null,hematuria,null
null,null,trauma,null
null,null,injury,null
null,Cystography,null,null
null,CT,null,null
null,null,hematuria,null
null,null,injury,null
null,null,trauma,null
null,null,Injury,null
null,null,Hematoma,null
null,null,Contusion,null
null,null,>,null
null,null,Trauma,null
null,null,fracture,null
null,null,injury,null
null,null,injury,null
null,null,injuries,null
management,null,null,null
null,null,trauma,null
null,CT,null,null
null,cystogram,null,null
null,null,hematuria,null
null,null,null,Surgery
null,null,Trauma,null
null,null,hematuria,null
null,null,injury,null
null,null,fracture,null
null,null,injury,null
null,null,injury,null
management,null,null,null
null,null,fracture,null
null,null,injury,null
null,null,trauma,null
null,null,injuries,null
management,null,null,null
null,null,injuries,null
null,null,trauma,null
null,null,individualized,null
management,null,null,null
null,null,injury,null
null,null,fractures,null
null,null,trauma,null
null,null,injury,null
null,null,trauma,null
null,null,herniation,null
null,null,fracture,null
R.,null,null,null
null,null,trauma,null
null,D.G.,null,null
L.L.R.,null,null,null
null,null,trauma,null
null,null,Trauma,null
null,null,351–354,null
null,null,R.J.,null
null,null,H.C.,null
treatment,null,null,null
null,null,fracture,null
null,null,Trauma,null
D.J.,null,null,null
null,null,L.C.,null
null,null,trauma,null
null,null,fracture,null
null,null,injuries,null
null,null,Injury,null
null,(2012),null,null
null,null,D.,null
null,null,Karaiskakis,null
null,null,L.,null
null,null,fractures,null
null,null,injuries,null
null,null,1–10,null
R.,null,null,null
null,null,injured,null
null,null,fracture,null
null,null,R.P.,null
M.J.,null,null,null
null,null,symphysis,null
reduction,null,null,null
null,null,R.J.,null
null,null,B.L.,null
null,null,injury,null
null,null,trauma,null
null,(2007),null,null
