B-PI,B-SurgicalProcedure,B-GOAL,B-IM
Trauma,null,null,null
Trauma,null,null,null
trauma,null,null,null
null,Surgery,null,null
Notre,null,null,null
injury,null,null,null
trauma,null,null,null
injury,null,null,null
trauma,null,null,null
trauma,null,null,null
null,null,management,null
lesion,null,null,null
trauma,null,null,null
null,null,treatment,null
null,null,null,BY-NC
null,null,management,null
trauma,null,null,null
trauma,null,null,null
null,null,null,CT
null,null,null,Ultrasound
null,null,null,CT
distended,null,null,null
null,laparotomy,null,null
null,null,management,null
pain,null,null,null
vomiting,null,null,null
86.1,null,null,null
null,Surgery,null,null
Notre,null,null,null
null,null,http://dx.doi.org/10.1016/j.tcr.2017.05.004,null
null,null,null,2352
null,null,null,BY-NC
Trauma,null,null,null
null,null,null,ultrasound
null,null,null,CT
dilated,null,null,null
null,null,MRI,null
null,null,null,cholangiography
null,laparotomy,null,null
null,cholecystectomy,null,null
trauma,null,null,null
pain,null,null,null
null,null,MRI,null
null,null,null,cholangiography
hematoma,null,null,null
Trauma,null,null,null
null,laparotomy,null,null
null,cholecystectomy,null,null
null,surgery,null,null
injury,null,null,null
trauma,null,null,null
injury,null,null,null
injuries,null,null,null
trauma,null,null,null
trauma,null,null,null
distended,null,null,null
injuries,null,null,null
contusion,null,null,null
Contusion,null,null,null
hematoma,null,null,null
injury,null,null,null
trauma,null,null,null
lesions,null,null,null
injury,null,null,null
null,null,null,2012
trauma,null,null,null
injury,null,null,null
injury,null,null,null
null,null,treatment,null
null,laparotomy,null,null
null,tectomy,null,null
null,null,diagnosis,null
null,null,null,Ultrasound
null,null,null,CT
null,null,MRI,null
null,null,drainage,null
null,null,null,cholecystography
null,cholecystectomy,null,null
null,null,treatment,null
injury,null,null,null
null,null,treatment,null
null,surgery,null,null
question,null,null,null
trauma,null,null,null
injury,null,null,null
null,Cholecystectomy,null,null
null,null,treatment,null
injuries,null,null,null
null,null,R.,null
D.,null,null,null
null,null,Treatment,null
injuries,null,null,null
injury,null,null,null
trauma,null,null,null
null,null,null,(2012
N.,null,null,null
rupture,null,null,null
trauma,null,null,null
null,null,null,41–42
trauma,null,null,null
null,null,management,null
trauma,null,null,null
Injury,null,null,null
R.A.,null,null,null
injuries,null,null,null
trauma,null,null,null
F.,null,null,null
trauma,null,null,null
