B-IM,B-SurgicalProcedure,B-PI,B-GOAL
null,null,Trauma,null
null,null,Trauma,null
null,null,trauma,null
null,null,null,J.P.
null,Surgery,null,null
null,null,KwaZulu,null
null,null,trauma,null
null,null,injury,null
null,null,injury,null
null,null,trauma,null
null,null,injuries,null
null,null,injuries,null
null,null,Injuries,null
null,null,injuries,null
null,null,injury,null
null,null,injuries,null
null,null,null,Imaging
null,null,trauma,null
BY-NC,null,null,null
null,null,trauma,null
null,null,injury,null
null,null,injuries,null
null,null,injuries,null
null,null,trauma,null
null,laparotomy,null,null
null,null,pain,null
null,null,trauma,null
null,null,abrasions,null
null,null,distended,null
null,null,fractures,null
null,Surgery,null,null
null,null,KwaZulu,null
2352,null,null,null
BY-NC,null,null,null
null,null,Trauma,null
null,laparotomy,null,null
null,null,injury,null
null,null,null,repaired
null,null,injuries,null
null,null,injuries,null
null,null,hematoma,null
null,null,loss,null
null,null,loss,null
null,null,Trauma,null
null,null,mechanisms,null
null,null,distended,null
null,null,injuries,null
null,null,injury,null
null,null,injury,null
null,null,null,management
null,null,null,evaluation
null,null,Injuries,null
null,null,injuries,null
null,laparotomy,null,null
null,null,null,treatment
null,null,injuries,null
null,null,injury,null
null,null,injury,null
null,null,trauma,null
null,null,aspiration,null
null,null,rupture,null
radiographs,null,null,null
null,null,obliteration,null
ultrasonography,null,null,null
Ultrasonography,null,null,null
null,laparotomy,null,null
null,null,injury,null
null,null,injury,null
null,laparotomy,null,null
raphy,null,null,null
(CT),null,null,null
CT,null,null,null
null,laparotomy,null,null
null,null,extravasation,null
CT,null,null,null
null,null,injury,null
null,null,trauma,null
null,null,Mechanisms,null
null,null,injury,null
null,null,injury,null
null,null,injury,null
null,null,null,Management
null,null,trauma,null
radiograph,null,null,null
null,null,Trauma,null
null,null,null,management
null,null,injury,null
null,null,null,management
null,null,injury,null
null,null,injury,null
null,null,injury,null
null,null,injuries,null
null,null,null,management
null,laparotomy,null,null
null,null,injuries,null
null,null,injuries,null
null,null,null,repair
null,null,null,closure
null,null,loss,null
null,null,loss,null
null,null,injuries,null
null,null,injuries,null
null,null,null,repair
null,null,injuries,null
null,null,loss,null
null,gastrectomy,null,null
null,null,injuries,null
null,null,null,reconstruction
null,null,injury,null
null,null,injuries,null
null,null,injuries,null
null,null,J.L.,null
null,null,trauma,null
null,null,injuries,null
null,null,trauma,null
null,null,null,R.
null,null,N.,null
null,null,injury,null
(2001),null,null,null
null,null,injury,null
VI,null,null,null
null,null,Trauma,null
null,null,F.,null
null,null,Rupture,null
null,null,trauma,null
null,null,Trauma,null
null,null,null,R.
null,null,P.,null
null,null,rupture,null
null,null,trauma,null
null,null,rupture,null
null,null,trauma,null
null,null,49–52,null
null,null,rupture,null
null,null,trauma,null
null,surgery,null,null
null,null,injuries,null
null,null,haemorrhage,null
null,null,injury,null
null,null,Trauma,null
null,null,Injuries,null
null,null,Trauma,null
null,null,trauma,null
null,null,Trauma,null
null,null,D.,null
null,null,null,Management
null,null,injuries,null
EAST,null,null,null
null,null,Injury,null
null,null,injury,null
null,null,trauma,null
EAST,null,null,null
null,null,Trauma,null
