B-PI,B-SurgicalProcedure,B-GOAL,B-IM
Trauma,null,null,null
Trauma,null,null,null
fracture,null,null,null
fracture,null,null,null
ligament,null,null,null
fractures,null,null,null
fracture,null,null,null
fracture,null,null,null
ligament,null,null,null
ligament,null,null,null
fracture,null,null,null
fracture,null,null,null
ligament,null,null,null
injuries,null,null,null
fracture,null,null,null
fracture,null,null,null
fractures,null,null,null
trauma,null,null,null
fracture,null,null,null
fracture,null,null,null
fracture,null,null,null
fracture,null,null,null
ligament,null,null,null
fractures,null,null,null
ligament,null,null,null
ligament,null,null,null
null,null,null,(MIPO)
fracture,null,null,null
arthroﬁbrosis,null,null,null
fractures,null,null,null
fractures,null,null,null
injuries,null,null,null
fractures,null,null,null
trauma,null,null,null
fractures,null,null,null
fracture,null,null,null
fracture,null,null,null
injury,null,null,null
fracture,null,null,null
fracture,null,null,null
ligament,null,null,null
fractures,null,null,null
fracture,null,null,null
fracture,null,null,null
fractures,null,null,null
ligament,null,null,null
ligament,null,null,null
fracture,null,null,null
ligament,null,null,null
null,null,reduction,null
trauma,null,null,null
null,null,examination,null
swelling,null,null,null
tenderness,null,null,null
null,null,null,2352
null,null,null,BY-NC
Trauma,null,null,null
null,null,null,radiograph
fracture,null,null,null
fractures,null,null,null
null,null,null,radiograph
fracture,null,null,null
null,null,null,CT
ligament,null,null,null
fractures,null,null,null
null,null,null,CT
fracture,null,null,null
ligament,null,null,null
fracture,null,null,null
fracture,null,null,null
fracture,null,null,null
injuries,null,null,null
null,null,null,angiography
null,null,null,radiograph
null,null,null,(CT)
fracture,null,null,null
fractures,null,null,null
null,null,imaging,null
null,null,MRI,null
ligament,null,null,null
injuries,null,null,null
null,surgery,null,null
null,null,reduction,null
fracture,null,null,null
null,null,null,(MIPO)
fracture,null,null,null
establish,null,null,null
fracture,null,null,null
fracture,null,null,null
pain,null,null,null
null,null,null,radiograph
fractures,null,null,null
fractures,null,null,null
null,surgery,null,null
fracture,null,null,null
null,surgery,null,null
preinjury,null,null,null
Trauma,null,null,null
null,null,null,radiographs
fracture,null,null,null
fracture,null,null,null
null,null,removal,null
fractures,null,null,null
injuries,null,null,null
null,null,diagnosis,null
null,null,treatment,null
fractures,null,null,null
fractures,null,null,null
fractures,null,null,null
injury,null,null,null
fractures,null,null,null
null,null,treatment,null
null,null,reduction,null
fractures,null,null,null
fractures,null,null,null
fracture,null,null,null
fracture,null,null,null
fracture,null,null,null
fracture,null,null,null
ligament,null,null,null
fractures,null,null,null
injuries,null,null,null
fracture,null,null,null
fracture,null,null,null
ligament,null,null,null
injuries,null,null,null
fracture,null,null,null
injury,null,null,null
fracture,null,null,null
null,null,null,MIPO
Trauma,null,null,null
null,null,null,radiographs
fractures,null,null,null
arthroﬁbrosis,null,null,null
null,null,treatment,null
fractures,null,null,null
fractures,null,null,null
fractures,null,null,null
null,null,treatment,null
arthroﬁbrosis,null,null,null
null,surgery,null,null
fractures,null,null,null
loss,null,null,null
fracture,null,null,null
fracture,null,null,null
ligament,null,null,null
fractures,null,null,null
fractures,null,null,null
arthroﬁbrosis,null,null,null
Trauma,null,null,null
fractures,null,null,null
null,null,management,null
O.,null,null,null
null,null,treatment,null
fracture,null,null,null
fractures,null,null,null
P.,null,null,null
fractures,null,null,null
obstructing,null,null,null
null,null,reduction,null
Injury,null,null,null
null,osteotomy,null,null
fracture,null,null,null
null,null,R.,null
null,null,R.,null
fracture,null,null,null
P.,null,null,null
fractures,null,null,null
P.O.,null,null,null
null,null,Management,null
ligament,null,null,null
injuries,null,null,null
D.,null,null,null
ligament,null,null,null
fractures,null,null,null
null,null,R.,null
fracture,null,null,null
