Attributes,Values
B-PI , Trauma
B-PI , Trauma
B-PI , dorsal
B-PI , R.A.
B-IM , Kharmaz
B-PI , M.O.
B-SurgicalProcedure , Surgery
B-PI , Dorsal
B-GOAL , reduction
B-PI , injury
B-PI , dorsal
B-PI , dorsal
B-GOAL , reduction
B-PI , pain
B-PI , injury
B-PI , dislocations
B-PI , dorsal
B-PI , injury
B-PI , fracture
B-GOAL , reduction
B-SurgicalProcedure , sa-
B-PI , pain
B-PI , inability
B-GOAL , examination
B-PI , dorsal
B-IM , radiographs
B-PI , injury
B-PI , displacement
B-PI , dorsal
B-SurgicalPreparation , general
B-SurgicalPreparation , anesthesia
B-GOAL , reduction
B-GOAL , stabilised
B-GOAL , physiotherapy
B-SurgicalProcedure , surgery
B-PI , pain
B-PI , https://doi.org/10.1016/j.tcr.2020.100349
B-IM , 2352
B-IM , BY-NC
B-PI , Trauma
B-IM , X-rays
B-IM , radiograph
B-IM , radiograph
B-IM , X-rays
B-PI , ligament
B-PI , dorsal
B-PI , ligament
B-PI , ligament
B-PI , fracture
B-PI , injury
B-IM , radiographs
B-PI , injury
B-PI , mistreated
B-PI , loss
B-PI , dorsal
B-GOAL , diagnosis
B-GOAL , examination
B-IM , radiographic
B-GOAL , examination
B-IM , radiographs
B-PI , dorsal
B-IM , X-ray
B-GOAL , diagnosis
B-PI , Trauma
B-IM , X-rays
B-IM , radiographic
B-GOAL , examination
B-GOAL , diagnosis
B-IM , radiographs
B-IM , X-ray
B-GOAL , imaging
B-IM , CT
B-GOAL , imaging
B-GOAL , MRI
B-GOAL , Treatment
B-GOAL , reduction
B-GOAL , treatment
B-SurgicalPreparation , anesthesia
B-PI , dorsal
B-PI , dislocations
B-GOAL , reduction
B-PI , dorsal
B-GOAL , treatment
B-GOAL , reduction
B-SurgicalPreparation , general
B-SurgicalPreparation , anesthesia
B-GOAL , reduction
B-GOAL , repair
B-PI , Trauma
B-PI , fracture
B-PI , injury
B-IM , radiographs
B-IM , X-ray
B-SurgicalProcedure , anatomy
B-IM , S.L. Moran,
B-PI , dislocations
B-PI , fractures
B-PI , F.
B-PI , A.E.
B-PI , T.B.
B-PI , L.
B-PI , F.
B-PI , Thomas
B-GOAL , R.
B-PI , injuries
B-PI , Trauma
B-IM , S.P.
B-PI , L.
B-GOAL , R.
B-PI , F.
B-GOAL , reduction
B-PI , D.
B-PI , Injury
B-PI , 1101–1105
