B-GOAL,B-IM,B-SurgicalProcedure,B-PI
null,null,null,Trauma
null,null,null,Trauma
null,null,null,fracture
null,null,null,fracture
null,null,null,fracture
null,null,null,trauma
null,null,null,injury
null,null,null,fracture
null,null,null,fracture
null,null,null,hemorrhage
null,null,null,Trauma
null,null,surgery,null
management,null,null,null
null,null,null,injuries
null,null,null,fracture
null,null,surgery,null
null,null,null,swelling
null,null,null,ecchymosis
null,null,null,edema
examination,null,null,null
null,null,null,ecchymosis
null,null,null,trauma
null,null,null,pain
null,null,null,Trauma
null,null,surgery,null
null,null,null,neurosurgery
imaging,null,null,null
null,null,surgery,null
management,null,null,null
null,null,null,fractures
null,null,null,trauma
management,null,null,null
null,null,null,injuries
null,null,null,fractures
Imaging,null,null,null
null,null,null,fractures
null,null,null,hematomas
null,CT,null,null
null,CT,null,null
null,null,null,fracture
null,null,null,fracture
null,null,null,hematomas
null,2352,null,null
null,BY-NC,null,null
K.M.,null,null,null
null,null,null,Trauma
null,CT,null,null
null,null,null,hematoma
null,null,null,fracture
null,CT,null,null
null,null,null,contusion
null,null,null,hemorrhage
null,null,null,hematoma
null,null,null,hemorrhage
null,CT,null,null
null,CT,null,null
null,null,null,fracture
K.M.,null,null,null
null,null,null,Trauma
null,CT,null,null
null,null,null,fracture
null,CT,null,null
null,null,null,hematoma
null,null,null,fracture
null,null,null,hematoma
null,null,null,fracture
null,null,null,displacement
null,null,null,fractures
null,null,null,injuries
null,null,null,contusions
null,null,null,hemorrhage
null,null,null,fractures
null,null,null,fractures
null,null,null,fracture
null,null,null,trauma
null,null,null,fractures
null,null,null,fractures
null,null,null,fracture
null,null,null,trauma
null,null,null,trauma
null,null,null,fracture
null,null,null,fractures
null,null,null,hemorrhage
null,null,null,injury
null,null,null,fractures
null,CT,null,null
imaging,null,null,null
null,null,null,trauma
null,null,null,injuries
null,null,null,trauma
null,null,null,injury
null,null,null,fracture
null,null,null,fracture
management,null,null,null
null,null,null,loss
null,null,null,DO
null,Somasundaram,null,null
null,null,null,Perrin
null,null,null,ecchymosis
null,null,null,trauma
null,null,null,Injury
null,null,null,fracture
null,null,null,fracture
null,null,null,Trauma
null,null,null,injuries
null,null,null,fracture
null,null,null,trauma
null,(2012),null,null
J.P.,null,null,null
null,null,null,fractures
evaluation,null,null,null
management,null,null,null
null,null,null,fractures
