B-IM,B-SurgicalProcedure,B-PI,B-GOAL
null,null,Trauma,null
(2015),null,null,null
null,null,Trauma,null
unduly,null,null,null
null,null,trauma,null
null,null,H.K.C.,null
null,null,D.,null
null,null,B.L.,null
null,null,injury,null
null,null,trauma,null
null,null,tion,null
null,null,null,Diagnosis
null,null,trauma,null
null,null,healthy,null
null,null,trauma,null
null,null,injuries,null
null,null,trauma,null
null,null,pain,null
null,null,fever,null
null,null,trauma,null
X-rays,null,null,null
FAST,null,null,null
sonography,null,null,null
null,null,trauma,null
null,null,pain,null
null,null,fever,null
null,null,pain,null
null,null,drdamindarupasinghe@yahoo.com,null
null,null,D.,null
null,null,B.L.,null
2352,null,null,null
BY-NC,null,null,null
null,null,H.K.C.,null
null,null,Trauma,null
null,null,vomiting,null
null,null,fever,null
null,null,null,management
null,null,fever,null
null,null,vomiting,null
null,null,null,examination
null,null,resus-,null
null,null,infection,null
X-rays,null,null,null
null,null,dilated,null
null,null,tomogra-,null
(CT),null,null,null
null,null,transection,null
null,null,tion,null
null,Laparotomy,null,null
null,null,ileostomy,null
null,null,ileostomy,null
null,null,trauma,null
null,null,injured,null
null,null,injured,null
null,null,trauma,null
CECT,null,null,null
null,null,trauma,null
null,null,H.K.C.,null
null,null,Trauma,null
null,null,null,examination
null,null,trauma,null
radiographs,null,null,null
FAST,null,null,null
null,null,null,examination
null,null,trauma,null
null,null,injuries,null
null,null,injury,null
FAST,null,null,null
ultrasound,null,null,null
CT,null,null,null
CT,null,null,null
null,null,extravasation,null
null,null,injury,null
null,null,injury,null
CT,null,null,null
Laparoscopy,null,null,null
null,null,null,imaging
null,surgery,null,null
null,null,lesions,null
null,surgery,null,null
null,null,injury,null
CT,null,null,null
null,null,trauma,null
null,null,injuries,null
CECT,null,null,null
null,null,injury,null
CT,null,null,null
ultrasound,null,null,null
null,null,injury,null
null,null,Gunawardena,null
null,null,trauma,null
Shams,null,null,null
null,null,null,G.M.
null,null,injuries,null
null,null,trauma,null
null,null,N.,null
(2012),null,null,null
null,null,injury,null
null,null,trauma,null
null,null,trauma,null
null,null,Trauma,null
null,null,null,R.
null,null,transection,null
null,null,trauma,null
null,null,injuries,null
null,null,mechanisms,null
null,null,Trauma,null
null,null,H.K.C.,null
null,null,Trauma,null
null,null,null,W.S.
null,null,L.,null
null,null,null,management
null,null,null,evaluation
null,null,trauma,null
EAST,null,null,null
null,null,null,management
null,null,Trauma,null
null,null,trauma,null
M.I.,null,null,null
null,null,null,C.H.
V.M.,null,null,null
ultrasonography,null,null,null
null,null,L.,null
null,null,D.,null
null,null,injuries,null
null,null,trauma,null
(FAST),null,null,null
null,null,trauma,null
null,null,L.H.,null
null,null,D.,null
ultrasound,null,null,null
null,null,null,examination
FAST,null,null,null
null,null,trauma,null
null,null,Trauma,null
null,null,null,diagnosis
null,null,null,670–675
null,null,trauma,null
null,null,Injury,null
null,null,null,diagnosis
null,null,injury,null
null,null,trauma,null
EAST,null,null,null
null,null,Trauma,null
null,null,null,G.C.
null,null,F.,null
null,null,Injury,null
null,null,Y.C.,null
null,null,null,C.H.
C.C.,null,null,null
S.C.,null,null,null
null,null,R.J.,null
null,null,trauma,null
null,null,570–573,null
null,null,A.A.,null
Laparoscopy,null,null,null
null,null,penetrating,null
null,null,trauma,null
laparoscopy,null,null,null
null,null,null,treatment
null,null,penetrating,null
null,null,injuries,null
null,null,trauma,null
null,null,discus-,null
null,null,A.B.,null
null,null,P.,null
null,null,injuries,null
