B-SurgicalProcedure,B-GOAL,B-PI,B-IM
null,null,Trauma,null
null,null,null,(2015)
null,null,Trauma,null
null,null,transection,null
null,null,trauma,null
null,null,Trauma,null
null,null,transection,null
null,null,trauma,null
null,null,Injury,null
null,null,trauma,null
null,null,injury,null
null,null,trauma,null
null,null,transection,null
null,null,trauma,null
null,null,trauma,null
null,null,transection,null
null,null,null,un-
null,null,injury,null
null,null,pain,null
null,null,null,CT
laparotomy,null,null,null
null,null,transection,null
null,null,injury,null
null,evaluation,null,null
null,null,trauma,null
null,null,transection,null
null,null,null,BY-NC
null,null,http://dx.doi.org/10.1016/j.tcr.2015.10.010,null
null,null,null,2352
null,null,null,BY-NC
null,null,Trauma,null
null,null,trauma,null
null,null,Injury,null
null,null,injured,null
null,null,trauma,null
null,null,injury,null
null,null,trauma,null
null,null,polytrauma,null
null,null,injuries,null
null,diagnosis,null,null
null,null,trauma,null
null,null,injuries,null
null,null,transection,null
null,null,trauma,null
null,null,transection,null
null,null,transection,null
null,null,injury,null
null,null,pre-,null
null,null,pain,null
null,null,pain,null
null,null,pain,null
null,null,pain,null
null,null,vomiting,null
null,null,loss,null
null,examination,null,null
null,null,tachycardia,null
null,examination,null,null
null,null,contusion,null
null,null,tenderness,null
null,null,tenderness,null
null,null,trauma,null
null,examination,null,null
null,null,tenderness,null
null,null,ecchymosis,null
null,null,null,X-rays
null,null,null,CT
null,null,null,CT
null,null,injury,null
null,null,null,CT
null,null,Trauma,null
null,null,null,laparoscopy
laparotomy,null,null,null
null,null,injury,null
null,null,null,mes-
null,null,injury,null
null,null,injuries,null
null,repair,null,null
null,null,transection,null
null,repair,null,null
null,null,null,CT
null,null,injury,null
null,null,injury,null
null,null,trauma,null
null,null,Injury,null
null,null,mechanisms,null
null,null,injury,null
null,null,injury,null
null,null,injuries,null
null,null,injuries,null
null,null,injuries,null
null,null,polytrauma,null
null,null,pain,null
null,null,tenderness,null
null,null,distension,null
null,null,injured,null
null,null,trauma,null
null,null,injury,null
null,null,trauma,null
null,null,null,CT
null,null,null,Ultrasonography
null,null,null,laparoscopy
null,null,injury,null
null,null,injuries,null
null,null,infection,null
null,null,ruptured,null
null,null,transection,null
null,null,injury,null
null,Management,null,null
null,closure,null,null
null,null,injury,null
null,null,null,CT
null,null,Trauma,null
null,null,injured,null
null,null,trauma,null
null,null,injured,null
null,diagnosis,null,null
null,null,transection,null
null,null,trauma,null
null,evaluation,null,null
null,null,trauma,null
null,null,trauma,null
null,management,null,null
null,null,transection,null
null,null,e54–e55,null
null,null,R.P.,null
null,null,transection,null
null,null,trauma,null
null,null,e55,null
null,null,L.,null
null,null,trauma,null
null,null,Castro,null
null,null,N.,null
null,R.,null,null
null,null,L.,null
null,null,P.,null
null,null,injury,null
null,null,trauma,null
null,null,D.,null
null,null,injuries,null
null,null,trauma,null
null,null,N.,null
null,null,Riyad,null
null,null,Karmy-Jones,null
laparotomy,null,null,null
null,null,trauma,null
null,management,null,null
null,null,injuries,null
null,null,Trauma,null
null,null,null,(2002)
null,null,426–433,null
null,null,N.,null
null,null,trauma,null
Surgery,null,null,null
null,null,injury,null
null,null,trauma,null
