B-GOAL,B-SurgicalPreparation,B-PI,B-SurgicalProcedure,B-IM
null,null,Trauma,null,null
null,null,Trauma,null,null
null,null,fractures,null,null
null,null,Neurosurgery,null,null
null,null,null,Surgery,null
null,null,fracture,null,null
null,null,fractures,null,null
null,null,trauma,null,null
frac-,null,null,null,null
null,null,null,hemostasis,null
null,null,injuries,null,null
null,null,fracture,null,null
reduction,null,null,null,null
null,null,null,hemostasis,null
null,null,hematoma,null,null
null,null,fracture,null,null
null,null,injuries,null,null
null,null,injury,null,null
null,null,fracture,null,null
null,null,fractures,null,null
null,null,injury,null,null
null,null,loss,null,null
frac-,null,null,null,null
null,null,impaired,null,null
reduction,null,null,null,null
null,null,fracture,null,null
null,null,null,hemostasis,null
null,null,injury,null,null
Reduction,null,null,null,null
null,null,fractures,null,null
null,null,Neurosurgery,null,null
null,null,R3A1R9,null,null
null,null,ckazina@exchange.hsc.mb.ca,null,null
null,null,Neurosurgery,null,null
null,null,R3A1R9,null,null
null,null,null,null,2352
null,null,null,null,BY-NC
null,null,Trauma,null,null
null,null,null,hemostasis,null
null,null,injuries,null,null
null,null,null,null,BY-NC
null,null,fractures,null,null
null,null,injury,null,null
null,null,fractures,null,null
null,null,leak,null,null
null,null,fractures,null,null
null,null,direction,null,null
null,null,fracture,null,null
null,null,fractures,null,null
null,null,fractures,null,null
null,null,Fractures,null,null
null,null,fracture,null,null
null,null,injuries,null,null
null,null,hematomas,null,null
null,null,hematomas,null,null
null,null,injuries,null,null
null,null,lesions,null,null
null,null,fractures,null,null
null,null,tion,null,null
null,null,injuries,null,null
null,null,null,hemostasis,null
null,null,fracture,null,null
null,null,hemorrhage,null,null
null,null,fracture,null,null
null,null,hematoma,null,null
null,null,injuries,null,null
null,null,null,null,hemo-
null,null,stasis,null,null
null,null,fracture,null,null
reduction,null,null,null,null
null,null,injury,null,null
stabilized,null,null,null,null
null,null,hypotension,null,null
null,null,hypoxia,null,null
null,null,trauma,null,null
null,null,trauma,null,null
evaluation,null,null,null,null
null,null,dilated,null,null
null,null,null,null,(CT)
null,null,null,null,CT
