B-PI,B-SurgicalProcedure,B-IM,B-SurgicalPreparation,B-GOAL
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
Neurosurgery,null,null,null,null
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
null,null,null,null,management
null,null,null,null,observation
ensure,null,null,null,null
null,null,null,null,observation
res-,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,null,null,management
injuries,null,null,null,null
hypertension,null,null,null,null
hyperlipidemia,null,null,null,null
null,null,null,null,evaluation
fractures,null,null,null,null
abrasions,null,null,null,null
ecchymosis,null,null,null,null
null,null,null,General,null
null,Surgery,null,null,null
Trauma,null,null,null,null
LA,null,null,null,null
null,null,null,null,N.S.
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,null,null,stabilized
null,null,BP,null,null
trauma,null,null,null,null
injuries,null,null,null,null
etomidate,null,null,null,null
null,null,null,null,drainage
null,null,null,null,transfusion
null,null,echocardiography,null,null
null,null,echocardiogram,null,null
hematoma,null,null,null,null
worsen,null,null,null,null
resuscitate,null,null,null,null
polytrauma,null,null,null,null
null,null,null,null,management
null,null,null,null,formulation
null,null,null,null,observation
pertinent,null,null,null,null
ensure,null,null,null,null
injuries,null,null,null,null
mechanisms,null,null,null,null
instances,null,null,null,null
loss,null,null,null,null
donations,null,null,null,null
Trauma,null,null,null,null
loss,null,null,null,null
loss,null,null,null,null
revisited,null,null,null,null
P.,null,null,null,null
L.,null,null,null,null
null,null,null,null,R.
donor,null,null,null,null
K.N.,null,null,null,null
J.L.,null,null,null,null
paradigm,null,null,null,null
null,null,null,null,‘
null,null,null,null,’
P.,null,null,null,null
injury,null,null,null,null
Moss,null,null,null,null
