Attributes,Values
B-PI , Trauma
B-PI , Trauma
B-PI , fractures
B-GOAL , ankylosis
B-PI , treated
B-SurgicalProcedure , Surgery
B-PI , fracture
B-GOAL , Treatment
B-SurgicalProcedure , surgery
B-GOAL , treatment
B-PI , fractures
B-GOAL , ankylosis
B-GOAL , treatment
B-PI , fracture
B-GOAL , ankylosis
B-PI , fracture
B-SurgicalProcedure , surgery
B-PI , injury
B-SurgicalProcedure , surgery
B-SurgicalPreparation , general
B-PI , fracture
B-PI , pain
B-PI , injury
B-GOAL , treatment
B-PI , fracture
B-PI , fracture
B-PI , fractures
B-GOAL , ankylosis
B-GOAL , treatment
B-PI , fractures
B-GOAL , ankylosis
B-GOAL , Treatment
B-GOAL , reduction
B-SurgicalProcedure , ORIF
B-SurgicalProcedure , surgery
B-GOAL , treatment
B-SurgicalProcedure , ORIF
B-GOAL , management
B-PI , fracture
B-GOAL , treatment
B-PI , fractures
B-GOAL , ankylosis
B-PI , fracture
B-GOAL , ankylosis
B-PI , fracture
B-PI , pre-
B-GOAL , treatment
B-PI , fracture
B-GOAL , ankylosis
B-GOAL , ankylosis
B-IM , 2352
B-IM , BY-NC
B-PI , Trauma
B-IM , X-ray
B-IM , CT
B-GOAL , examination
B-PI , pain
B-GOAL , diagnosis
B-PI , fracture
B-PI , injury
B-IM , (CT)
B-GOAL , ankylosis
B-PI , fracture
B-IM , X-ray
B-IM , CT
B-PI , swelling
B-PI , dorsal
B-SurgicalProcedure , surgery
B-SurgicalProcedure , ORIF
B-GOAL , treatment
B-SurgicalProcedure , surgery
B-PI , injury
B-SurgicalProcedure , surgery
B-SurgicalPreparation , general
B-SurgicalPreparation , anesthesia
B-PI , Struts
B-PI , fracture
B-PI , direction
B-PI , fracture
B-SurgicalProcedure , surgery
B-SurgicalProcedure , surgery
B-SurgicalProcedure , surgery
B-PI , fracture
B-PI , Struts
B-PI , fracture
B-PI , pain
B-IM , X-ray
B-PI , Trauma
B-SurgicalProcedure , surgery
B-PI , injury
B-GOAL , treatment
B-PI , ankylosis
B-GOAL , ankylosis
B-PI , fracture
B-GOAL , ankylosis
B-PI , Trauma
B-PI , trauma
B-GOAL , ankylosis
B-PI , trauma
B-GOAL , ankylosis
B-PI , fractures
B-GOAL , ankylosis
B-SurgicalProcedure , ORIF
B-GOAL , treatment
B-PI , fractures
B-PI , fracture
B-PI , fracture
B-PI , fracture
B-GOAL , applied
B-PI , fracture
B-PI , fracture
B-GOAL , Treatment
B-PI , fracture
B-PI , fracture
B-SurgicalProcedure , surgery
B-PI , fractures
B-PI , fracture
B-PI , fractures
B-GOAL , ankylosis
B-PI , treated
B-GOAL , treatment
B-PI , fractures
B-GOAL , ankylosis
B-GOAL , R.
B-PI , Pfeifer
B-PI , F.
B-PI , H.C.
B-PI , Injury
B-IM , S7–12
B-GOAL , J.P.
B-GOAL , management
B-GOAL , R.
B-PI , F.
B-PI , N.
B-GOAL , Treatment
B-PI , D.
B-PI , L.M.
B-PI , Friedl
B-GOAL , Zwei
B-GOAL , R.
B-PI , Fractures
B-PI , D.
B-GOAL , Treatment
B-PI , fracture
