B-SurgicalPreparation,B-IM,B-SurgicalProcedure,B-GOAL,B-PI
null,null,null,null,Trauma
null,null,null,null,Trauma
null,null,null,null,hernia
null,null,Surgery,null,null
null,null,null,null,hernia
null,null,null,null,injury
null,null,null,null,hernia
null,null,null,treatment,null
null,null,null,null,hernia
null,null,null,null,herniation
null,null,null,null,hernia
null,null,null,null,injuries
null,radiography,null,null,null
null,null,null,null,hernia
null,null,Surgery,null,null
null,null,null,null,hernia
null,null,null,treatment,null
null,null,null,null,hernia
null,null,null,null,her-
null,null,null,null,trauma
null,null,null,null,hernia
null,null,null,null,injuries
null,null,null,null,herniation
null,null,null,null,pain
null,null,null,null,pain
null,null,null,null,pain
null,null,thoracotomy,null,null
null,null,null,null,trauma
null,radiography,null,null,null
null,(CT),null,null,null
null,null,null,null,thorax
null,null,null,null,effusion
null,null,thoracotomy,null,null
general,null,null,null,null
anesthesia,null,null,null,null
null,null,null,repaired,null
null,null,Surgery,null,null
null,null,null,HeBei,null
null,2352,null,null,null
null,null,Surgery,null,null
null,null,null,null,Trauma
null,CT,null,null,null
null,null,null,null,thorax
null,null,null,null,effusion
null,CT,null,null,null
null,null,null,null,Trauma
null,null,surgery,null,null
null,null,null,null,hernia
null,null,null,null,injury
null,null,null,null,pre-
null,null,null,repair,null
null,null,null,null,rupture
null,null,null,null,hernia
null,null,null,null,hernia
null,null,null,null,hernia
null,null,null,null,hernia
null,null,null,null,hernia
null,null,null,null,hernia
null,null,null,null,injuries
null,null,null,null,injury
null,null,null,null,fracture
null,null,null,null,injuries
null,null,null,null,injuries
null,null,null,null,contusion
null,null,null,null,effusion
null,null,null,null,tion
null,null,null,null,injuries
null,null,null,null,injuries
null,null,null,null,hernia
null,CT,null,null,null
null,null,null,reconstruction,null
null,null,null,imaging,null
null,null,null,MRI,null
null,null,null,null,lesion
null,laparoscopy,null,null,null
null,null,null,null,hernia
null,null,null,null,rupture
null,null,null,application,null
null,null,null,null,effusion
null,null,null,observation,null
null,null,null,null,hernia
null,null,null,Repair,null
null,null,null,null,injury
null,null,null,treatment,null
null,null,null,treatment,null
null,null,null,null,hernia
null,null,null,null,hernia
null,null,null,null,trauma
null,null,null,null,injuries
null,null,null,null,injury
null,null,null,null,injuries
null,null,null,repair,null
null,null,null,treatment,null
null,null,null,null,transabdominal
null,null,null,repair,null
null,null,null,null,hernia
null,null,surgery,null,null
null,null,null,null,injuries
null,null,null,null,injuries
null,null,null,management,null
null,null,surgery,null,null
null,null,null,repair,null
null,null,null,null,materials
null,null,null,null,hernia
null,null,null,null,injury
null,null,null,exploration,null
null,null,null,repair,null
null,null,null,null,Trauma
null,null,null,null,A.I.
null,null,null,null,hernia
null,null,null,null,hernia
null,null,null,null,F.
null,null,null,null,penetrating
null,null,null,null,injuries
null,null,null,null,W.B.
null,null,null,null,hernia
null,null,null,null,F.
null,null,null,null,Canto
null,null,null,null,Thorax
null,null,null,null,hernia
null,null,null,null,injury
null,null,null,null,R.J.
null,Laparoscopy,null,null,null
null,null,null,evaluation,null
null,null,null,null,penetrating
null,null,null,null,injury
null,null,null,null,Trauma
