B-IM,B-GOAL,B-SurgicalProcedure,B-PI
null,null,null,Trauma
100250,null,null,null
null,null,null,Trauma
null,null,null,hernia
null,null,null,trauma
null,null,null,Trauma
MD,null,null,null
null,null,null,injury
null,null,null,hernia
null,null,null,hernia
null,null,null,rupture
null,null,null,trauma
null,repair,null,null
null,null,null,pain
null,Imaging,null,null
null,null,null,rupture
null,null,null,herniation
null,null,null,hemithorax
null,null,laparotomy,null
null,null,null,hernia
null,null,null,herniating
null,repaired,null,null
null,null,null,average
null,null,null,hernia
null,null,null,herniation
null,null,null,hernia
null,null,null,hernia
null,null,null,trauma
null,null,null,pain
null,null,null,loss
null,null,null,tamponade[2
null,null,null,hernia
null,null,null,rupture
null,null,null,pain
null,null,null,tenderness
null,null,null,tenderness
null,Evaluation,null,null
CT,null,null,null
null,null,null,fractures
null,null,null,injuries
null,null,null,pain
null,therapy,null,null
null,null,null,pain
null,null,null,dizziness
null,imaging,null,null
null,null,null,rupture
null,null,null,herniation
null,null,null,hemithorax
null,∗,null,null
"MD 21237,",null,null,null
2352,null,null,null
BY-NC,null,null,null
null,null,null,Trauma
100250,null,null,null
null,null,null,rupture
null,null,null,herniation
null,null,null,hemithorax
null,null,null,herniation
null,null,null,hemithorax
null,null,null,herniation
null,null,null,fracture
null,management,null,null
null,null,null,tachycardic
null,null,null,tenderness
null,reduction,null,null
null,repair,null,null
null,exploration,null,null
null,repaired,null,null
null,null,null,injuries
null,null,null,trauma
null,null,null,trauma
null,null,null,trauma
null,imaging,null,null
null,null,null,herniation
null,imaging,null,null
null,null,null,pain
null,null,null,herniation
null,null,null,Trauma
100250,null,null,null
null,repaired,null,null
null,repaired,null,null
null,null,null,herniation
null,null,null,rupture
null,null,null,trauma
null,null,null,disruption
null,repair,null,null
null,null,thoracotomy,null
null,null,null,herniation
null,null,null,ensure
null,null,null,herniation
null,null,null,average
null,null,null,hernia
null,null,null,herniation
null,null,null,hernia
null,null,K.,null
null,null,null,O.
null,Repair,null,null
null,null,null,hernia
null,repair,null,null
null,null,null,hernia
null,null,null,rupture
