B-SurgicalPreparation,B-GOAL,B-IM,B-SurgicalProcedure,B-PI
null,null,null,null,Trauma
null,null,null,null,Trauma
null,null,null,Surgery,null
null,null,null,null,Trauma
null,null,null,Surgery,null
General,null,null,null,null
null,null,null,Surgery,null
null,null,null,null,Trauma
null,null,null,Surgery,null
null,null,null,null,trauma
null,null,null,null,Pseudoaneurysm
null,null,null,null,pseudoaneurysm
null,null,null,null,hemorrhage
null,null,null,null,pain
null,null,null,null,hemoperitoneum
null,null,null,null,leakage
null,null,null,null,Pseudoaneurysm
null,null,null,null,pseudoaneurysm
null,null,null,null,hemoperitoneum
null,null,null,null,pseudoaneurysm
null,management,null,null,null
null,null,null,null,hemorrhage
null,null,null,null,trauma
null,null,null,null,pain
null,null,null,null,tenderness
null,examination,null,null,null
null,null,null,null,fractures
null,null,(CT),null,null
null,null,null,null,dys-
null,null,CT,null,null
null,null,null,null,hemoperitoneum
null,null,null,null,leakage
General,null,null,null,null
null,null,null,Surgery,null
null,null,null,null,Trauma
null,null,null,Surgery,null
null,35233,null,null,null
null,null,null,null,mdearnest@naver.com
null,null,2352,null,null
null,null,BY-NC,null,null
null,null,null,null,D.
null,null,null,null,Trauma
null,null,CT,null,null
null,null,null,null,hemoperitoneum
null,null,null,null,leakage
null,null,null,null,ligament
null,null,Angiography,null,null
null,null,null,null,extravasation
null,null,null,null,pseudoaneurysm
null,null,angiography,null,null
null,management,null,null,null
null,transfusion,null,null,null
null,applied,null,null,null
null,null,CT,null,null
null,null,null,null,pseudoaneurysm
null,null,null,null,pseudoaneurysm
null,null,Angiography,null,null
null,null,null,null,extravasation
null,null,angiography,null,null
null,null,null,null,pseudoaneurysm
null,null,null,null,extravasation
null,null,CT,null,null
null,null,null,null,leakage
null,null,null,null,aneurysm
null,null,null,null,D.
null,null,null,null,Trauma
null,null,CT,null,null
null,null,null,null,pseudoaneurysm
null,null,null,null,rupture
null,null,null,null,trauma
null,null,null,null,pseudoaneurysm
null,null,null,null,trauma
null,null,null,null,trauma
null,null,null,null,pseudoaneurysm
null,null,CT,null,null
null,null,null,null,Pseudoaneurysm
null,management,null,null,null
null,null,null,null,hemorrhage
null,treatment,null,null,null
null,null,null,null,D.
null,null,null,null,Trauma
null,null,Angiography,null,null
null,null,null,null,extravasation
null,null,angiography,null,null
null,null,null,null,pseudoaneurysm
null,null,null,null,extravasation
null,null,CT,null,null
null,null,null,null,leakage
null,null,null,null,aneurysm
null,treatment,null,null,null
null,null,null,null,hemorrhage
null,Treatment,null,null,null
null,null,null,surgery,null
null,null,null,surgery,null
null,treatment,null,null,null
null,therapy,null,null,null
null,treatment,null,null,null
null,null,Angiographic,null,null
null,null,angiography,null,null
null,null,null,null,pseudoaneurysm
null,null,null,null,trauma
null,null,null,null,treated
null,treatment,null,null,null
null,null,null,null,pseudoaneurysm
null,null,null,null,hemoperitoneum
null,null,null,null,D.
null,null,null,null,Trauma
null,null,null,null,D.
null,null,null,null,Trauma
null,null,null,null,trauma
null,null,null,null,Trauma
null,null,null,null,L.
null,null,null,null,pseudoaneurysm
null,null,null,null,trauma
null,Imaging,null,null,null
null,null,null,null,Ruptured
null,repair,null,null,null
null,null,null,null,e9–12
null,null,"S.L. Salzman,",null,null
null,null,null,null,D.
null,null,Angiographic,null,null
null,null,null,null,pseudoaneurysm
null,null,null,null,D.
null,null,null,null,aneurysm
null,null,null,null,Kohama
null,null,null,null,ruptured
null,null,null,null,aneurysm
null,R.,null,null,null
null,null,null,null,aneurysm
null,null,null,null,rupture
null,null,null,null,Ruptured
null,null,null,null,aneurysm
