B-IM,B-GOAL,B-PI,B-SurgicalProcedure
null,null,Trauma,null
null,null,Trauma,null
null,null,trauma,null
null,null,Trauma,null
null,null,trauma,null
null,null,injury,null
null,null,trauma,null
null,null,injury,null
null,null,trauma,null
null,null,parenchymal,null
null,null,injuries,null
null,imaging,null,null
null,null,injury,null
null,null,parenchymal,null
null,null,injury,null
null,null,injury,null
null,null,trauma,null
null,null,parenchymal,null
null,null,injury,null
null,null,trauma,null
null,imaging,null,null
null,diagnosis,null,null
null,null,trauma,null
null,null,pain,null
null,null,abrasions,null
null,null,vomiting,null
null,null,pain,null
null,null,haematuria,null
null,examination,null,null
hemogram,null,null,null
2352,null,null,null
BY-NC,null,null,null
null,null,null,K.
null,null,Trauma,null
CECT,null,null,null
ultrasound,null,null,null
X ray chest,null,null,null
CT,null,null,null
null,collateral,null,null
null,null,parenchymal,null
null,null,injury,null
null,null,intervals,null
null,null,intervals,null
CT,null,null,null
null,imaging,null,null
null,null,trauma,null
null,null,injury,null
null,null,trauma,null
null,null,injuries,null
null,null,parenchymal,null
null,null,injury,null
null,null,haematuria,null
null,null,nausea,null
null,null,vomiting,null
null,null,haematuria,null
null,null,pain,null
CT,null,null,null
null,null,trauma,null
CECT,null,null,null
null,null,null,K.
null,null,Trauma,null
CECT,null,null,null
null,Treatment,null,null
null,therapy,null,null
null,therapy,null,null
null,propagation,null,null
null,null,null,nephrectomy
null,null,haematuria,null
null,null,hypertension,null
null,null,haematuria,null
null,null,trauma,null
null,therapy,null,null
null,null,trauma,null
null,imaging,null,null
null,diagnosis,null,null
null,null,pre-,null
null,S.J.,null,null
null,null,O.,null
(2012),null,null,null
null,R.,null,null
null,null,O.,null
null,null,trauma,null
null,R.,null,null
null,null,O.,null
null,null,trauma,null
null,null,G.Y.,null
null,null,P.,null
null,null,Preate,null
null,null,trauma,null
null,null,Trauma,null
null,null,null,K.
C.C.,null,null,null
angiography,null,null,null
null,null,null,K.
null,C.H.,null,null
null,C.H.,null,null
null,treatment,null,null
null,null,null,K.
null,null,Trauma,null
null,null,null,thrombectomy
S.I.,null,null,null
null,treatment,null,null
