B-SurgicalProcedure,B-IM,B-PI,B-GOAL
null,null,Trauma,null
null,null,Trauma,null
null,null,trauma,null
null,null,Trauma,null
Surgery,null,null,null
null,null,Trauma,null
null,null,injury,null
null,null,transection,null
null,null,trauma,null
null,null,injury,null
null,null,null,‘
null,null,null,’
null,null,injury,null
null,null,trauma,null
null,null,injuries,null
null,null,injuries,null
null,null,injury,null
null,null,injury,null
null,null,injury,null
null,null,injury,null
null,null,driver,null
null,null,Trauma,null
null,2352,null,null
null,BY-NC,null,null
null,null,Trauma,null
null,null,injury,null
null,null,anchoring,null
null,FAST,null,null
null,null,null,examination
null,null,injury,null
null,CECT,null,null
null,null,null,exploration
null,null,contused,null
null,null,null,repair
null,null,ileostomy,null
null,null,infection,null
null,null,hypotension,null
null,null,ensure,null
null,null,injury,null
null,null,injuries,null
null,null,transection,null
null,null,Injury,null
null,null,ﬂexion-,null
null,null,injury,null
null,null,Trauma,null
null,null,ileostomy,null
null,null,injury,null
null,null,injury,null
null,null,injury,null
null,null,injury,null
null,null,injury,null
null,null,injury,null
null,null,injury,null
null,null,trauma,null
null,null,injury,null
null,null,injury,null
null,null,injuries,null
null,null,injuries,null
null,null,injuries,null
null,null,injuries,null
null,null,injury,null
null,null,null,‘
null,null,trauma,null
null,null,null,’
null,null,null,‘
null,null,null,’
null,null,trauma,null
null,null,trauma,null
null,null,injuries,null
null,null,Trauma,null
null,null,P.,null
null,null,null,treatment
null,https://www.osha.gov/SLTC/etools/construction/falls/fallarrest.html,null,null
null,null,null,R.
null,null,D.,null
null,null,injury,null
null,null,O.,null
null,null,trauma,null
