B-IM,B-SurgicalProcedure,B-SurgicalPreparation,B-GOAL,B-PI
null,null,null,null,Trauma
null,null,null,null,Trauma
null,null,null,removal,null
null,null,null,null,foreign
null,null,null,null,Foreign
null,null,null,null,injury
null,null,null,null,foreign
null,null,null,null,trauma
null,null,null,exploration,null
null,null,null,null,foreign
null,null,null,null,foreign
null,null,null,null,trauma
null,null,null,removal,null
null,null,null,null,foreign
null,null,null,null,foreign
null,null,null,null,foreign
null,anatomy,null,null,null
null,null,null,null,foreign
null,null,null,null,injuries
null,null,null,null,foreign
null,null,null,null,foreign
null,null,null,null,trauma
null,null,null,Examination,null
null,null,null,null,foreign
X-ray,null,null,null,null
ultrasound,null,null,null,null
null,null,null,null,foreign
null,null,null,exploration,null
null,null,anesthesia,null,null
null,null,null,null,trajectory
null,null,null,null,foreign
null,null,null,impaction,null
null,null,null,null,foreign
null,null,null,exploration,null
(CT),null,null,null,null
null,null,null,null,foreign
null,null,null,exploration,null
null,null,general,null,null
null,null,anesthesia,null,null
null,null,null,null,foreign
null,null,null,impaction,null
null,null,null,null,https://doi.org/10.1016/j.tcr.2018.11.002
2352,null,null,null,null
BY-NC,null,null,null,null
null,null,null,null,Trauma
CT,null,null,null,null
null,null,null,null,foreign
null,null,null,null,trauma
null,null,null,null,injuries
null,null,null,null,injury
null,null,null,null,foreign
null,null,null,null,foreign
null,null,null,null,forcep
null,null,null,null,forcep
null,null,null,null,forcep
null,null,null,null,foreign
SCM,null,null,null,null
null,null,null,null,forcep
null,null,null,null,Foreign
null,null,null,null,foreign
null,null,null,null,Trauma
null,null,null,null,foreign
null,null,null,null,trauma
null,null,null,removal,null
null,null,null,R.,null
null,null,null,R.,null
null,null,null,removal,null
null,null,null,null,foreign
null,null,null,null,television
null,null,null,Removal,null
null,null,null,null,foreign
S.C.,null,null,null,null
null,null,null,null,Penetrating
null,null,null,null,trauma
null,null,null,management,null
null,null,null,null,J.C.
null,null,null,R.,null
null,null,null,null,Penetrating
