B-SurgicalPreparation,B-PI,B-IM,B-SurgicalProcedure,B-GOAL
null,Trauma,null,null,null
null,Trauma,null,null,null
null,"Shibataa,⁎",null,null,null
null,Kitasato,null,null,null
null,kitasato,null,null,null
null,Kanagawa,null,null,null
null,hemorrhage,null,null,null
null,pain,null,null,null
null,trauma,null,null,null
null,null,null,hemostasis,null
null,null,null,null,imaging
null,medullaris,null,null,null
null,null,null,null,diagnosis
null,trauma,null,null,null
null,null,CT,null,null
null,null,null,null,management
null,E2V1M3,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
null,Trauma,null,null,null
null,null,un-,null,null
null,incise,null,null,null
null,null,X-ray,null,null
null,null,(CT),null,null
null,null,CT,null,null
null,null,null,hemostasis,null
null,null,null,null,removal
null,pain,null,null,null
null,pain,null,null,null
null,trauma,null,null,null
null,null,null,null,examination
null,null,X-ray,null,null
general,null,null,null,null
anesthesia,null,null,null,null
null,null,null,null,repaired
null,ruptured,null,null,null
null,null,null,null,repaired
null,null,null,null,imaging
null,null,null,null,MRI
null,medullaris,null,null,null
null,null,null,null,MRI
null,null,null,null,imaging
null,spin,null,null,null
null,null,null,null,imaging
null,null,null,null,MRI
null,medullaris,null,null,null
null,Trauma,null,null,null
null,null,null,null,MRI
null,ischemia,null,null,null
null,injury,null,null,null
general,null,null,null,null
null,null,null,null,stabilized
null,loss,null,null,null
null,injury,null,null,null
null,null,null,null,MRI
null,injury,null,null,null
null,aneurysm,null,null,null
null,null,null,surgery,null
null,null,null,null,MRI
null,null,null,null,MRI
null,swelling,null,null,null
null,swelling,null,null,null
null,pain,null,null,null
null,lesion,null,null,null
null,lesions,null,null,null
null,highly,null,null,null
null,null,null,null,examination
null,loss,null,null,null
null,impaired,null,null,null
null,pain,null,null,null
null,null,null,null,MRI
null,medullaris,null,null,null
null,hemorrhage,null,null,null
null,trauma,null,null,null
null,null,CT,null,null
null,null,null,null,examination
null,L.,null,null,null
null,ischemia,null,null,null
null,Trauma,null,null,null
null,trauma,null,null,null
null,null,null,null,treatment
null,null,null,null,examination
null,ischemia,null,null,null
null,O.,null,null,null
null,null,null,null,R.
null,null,null,null,confirmatory
null,982–991,null,null,null
null,L.,null,null,null
null,null,null,null,Imaging
null,medullaris,null,null,null
