B-SurgicalPreparation,B-SurgicalProcedure,B-PI,B-IM,B-GOAL
null,null,Trauma,null,null
null,null,Trauma,null,null
null,null,penetrating,null,null
null,null,trauma,null,null
null,null,edema,null,null
null,null,Neurosurgery,null,null
General,null,null,null,null
null,null,Neurosurgery,null,null
null,null,Penetrating,null,null
null,null,injuries,null,null
general,null,null,null,null
null,null,null,CT,null
null,null,fracture,null,null
null,null,hemorrhage,null,null
null,null,null,CT,null
null,null,edema,null,null
null,surgery,null,null,null
null,null,penetrating,null,null
null,null,trauma,null,null
null,null,Penetrating,null,null
null,null,injuries,null,null
null,null,injury,null,null
null,null,injuries,null,null
null,null,injuries,null,null
null,null,trauma,null,null
null,null,trauma,null,null
null,null,null,null,diagnosis
null,null,injury,null,null
null,null,injuries,null,null
null,null,hematoma,null,null
null,null,contusion,null,null
null,null,hemorrhage,null,null
null,null,injuries,null,null
null,null,edema,null,null
general,null,null,null,null
null,null,edema,null,null
null,null,null,(CT),null
null,null,fracture,null,null
null,null,hemorrhage,null,null
null,null,null,CT,null
null,null,edema,null,null
null,null,fever,null,null
null,null,edema,null,null
null,null,edema,null,null
null,null,Neurosurgery,null,null
null,null,null,2352,null
null,null,null,BY-NC,null
null,null,Trauma,null,null
null,null,null,CT,null
null,null,hemorrhage,null,null
null,null,parenchymal,null,null
null,null,edema,null,null
null,null,null,CT,null
null,surgery,null,null,null
null,null,Beginning,null,null
null,null,null,null,drainage
null,null,parenchymal,null,null
null,null,null,null,repaired
null,null,edema,null,null
null,null,edema,null,null
null,null,null,CT,null
null,surgery,null,null,null
null,null,null,CT,null
null,null,parenchymal,null,null
null,null,Trauma,null,null
null,null,null,CT,null
null,null,edema,null,null
null,null,null,CT,null
null,null,hemorrhage,null,null
null,surgery,null,null,null
null,null,Trauma,null,null
null,null,null,CT,null
null,null,null,CT,null
null,null,null,null,reconstruction
null,null,Trauma,null,null
null,null,Penetrating,null,null
null,null,trauma,null,null
null,null,trauma,null,null
null,null,null,CT,null
null,null,injury,null,null
null,null,foreign,null,null
null,null,null,CT,null
null,null,−500,null,null
null,null,null,−200,null
null,null,null,−1000 [9,null
null,null,parenchyma,null,null
null,null,impairment,null,null
null,null,injuries,null,null
null,null,hematoma,null,null
null,null,contusion,null,null
null,null,hemorrhage,null,null
null,null,injuries,null,null
null,null,edema,null,null
null,null,Fever,null,null
null,null,infection,null,null
null,null,12.5,null,null
null,null,trauma,null,null
null,null,null,null,treatment
null,null,trauma,null,null
null,null,null,null,examination
null,null,trauma,null,null
null,surgery,null,null,null
null,null,null,null,R.
null,null,L.,null,null
null,null,Neurosurgery,null,null
null,null,null,null,W.S.
null,null,null,null,treatment
null,null,penetrating,null,null
null,null,injury,null,null
null,null,penetrating,null,null
null,null,injury,null,null
null,null,Onuma,null,null
null,null,foreign,null,null
null,null,foreign,null,null
null,null,null,T.S.,null
null,null,C.R.,null,null
null,null,null,null,R.
null,null,penetrating,null,null
null,null,injury,null,null
null,null,trauma,null,null
null,null,injury,null,null
null,null,F.,null,null
null,null,Shirouzu,null,null
null,null,penetrating,null,null
null,null,injuries,null,null
null,null,R.C.,null,null
null,null,null,null,management
null,null,null,null,329–336
null,null,penetrating,null,null
null,null,injuries,null,null
