B-PI,B-SurgicalProcedure,B-IM,B-GOAL
Trauma,null,null,null
Trauma,null,null,null
penetrating,null,null,null
trauma,null,null,null
Pre-,null,null,null
null,null,ultrasound,null
null,null,2002,null
Army,null,null,null
penetrating,null,null,null
trauma,null,null,null
injury,null,null,null
penetrating,null,null,null
trauma,null,null,null
null,null,Ultrasound,null
triage,null,null,null
pre-,null,null,null
null,null,null,management
null,null,ultrasound,null
null,null,null,transfusion
Penetrating,null,null,null
trauma,null,null,null
Trauma,null,null,null
null,null,Ultrasound,null
healthy,null,null,null
paramedic,null,null,null
null,null,sonography,null
trauma,null,null,null
distended,null,null,null
Trauma,null,null,null
null,null,null,Transfusion
Trauma,null,null,null
null,null,2002,null
null,null,2352,null
null,null,BY-NC,null
P.,null,null,null
Trauma,null,null,null
null,null,BK,null
null,Sternotomy,null,null
null,thoracotomy,null,null
penetrating,null,null,null
null,null,null,haemothorax
injuries,null,null,null
null,null,null,repaired
healthy,null,null,null
thorax,null,null,null
RR,null,null,null
null,thoracostomy,null,null
null,Surgery,null,null
Trauma,null,null,null
null,thoracotomy,null,null
null,surgery,null,null
null,null,null,removal
null,null,null,closure
injury,null,null,null
trauma,null,null,null
decision-,null,null,null
P.,null,null,null
Trauma,null,null,null
photograph,null,null,null
penetrating,null,null,null
injuries,null,null,null
injuries,null,null,null
trauma,null,null,null
null,null,ultrasound,null
null,null,null,transfusion
null,null,null,transfusion
Pre-,null,null,null
null,null,null,transfusion
null,Surgery,null,null
trauma,null,null,null
P.,null,null,null
null,null,null,Treatment
trauma,null,null,null
null,null,null,transfusion
null,thoracotomy,null,null
Trauma,null,null,null
null,null,null,PRBC
null,null,GRAM,null
null,thoracostomy,null,null
null,null,GRAM,null
haemorrhage,null,null,null
null,null,null,treatment
trauma,null,null,null
penetrating,null,null,null
injuries,null,null,null
injury,null,null,null
null,null,ultrasound,null
pre-,null,null,null
Trauma,null,null,null
hard,null,null,null
injury,null,null,null
Trauma,null,null,null
Injury,null,null,null
null,null,null,Management
null,null,RR,null
Trauma,null,null,null
null,null,Sonography,null
Trauma,null,null,null
null,null,null,Transfusion
AG,null,null,null
P.,null,null,null
Trauma,null,null,null
trauma,null,null,null
haemorrhage,null,null,null
penetrating,null,null,null
trauma,null,null,null
null,null,null,transfusion
trauma,null,null,null
null,null,null,’
trauma,null,null,null
null,null,null,’
trauma,null,null,null
trauma,null,null,null
null,null,null,’
haemorrhage,null,null,null
trauma,null,null,null
trauma,null,null,null
patent,null,null,null
pneumothorax,null,null,null
excluded,null,null,null
fractures,null,null,null
haemorrhage,null,null,null
Trauma,null,null,null
Injury,null,null,null
null,null,null,Management
P.,null,null,null
Trauma,null,null,null
Trauma,null,null,null
null,null,null,‘
null,null,null,’
trauma,null,null,null
null,null,null,’
trauma,null,null,null
Trauma,null,null,null
Trauma,null,null,null
null,null,null,Transfusion
Trauma,null,null,null
Trauma,null,null,null
trauma,null,null,null
Trauma,null,null,null
Injury,null,null,null
null,null,null,Management
P.,null,null,null
Trauma,null,null,null
null,null,null,Evaluation
penetrating,null,null,null
Trauma,null,null,null
D.,null,null,null
null,null,ultrasound,null
thorax,null,null,null
trauma,null,null,null
null,null,null,management
Injury,null,null,null
null,null,FAST,null
null,null,sonography,null
trauma,null,null,null
injury,null,null,null
penetrating,null,null,null
trauma,null,null,null
null,null,Ultrasound,null
injury,null,null,null
null,null,null,transfusion
null,null,US,null
Trauma,null,null,null
O.,null,null,null
C.R.,null,null,null
penetrating,null,null,null
trauma,null,null,null
Trauma,null,null,null
