B-SurgicalProcedure,B-GOAL,B-PI,B-IM,B-SurgicalPreparation
null,null,Trauma,null,null
null,null,Trauma,null,null
null,null,fracture,null,null
null,null,fracture,null,null
null,treatment,null,null,null
null,null,osteoporosis,null,null
Surgery,null,null,null,null
Surgery,null,null,null,null
Surgery,null,null,null,null
Surgery,null,null,null,null
null,null,null,null,General
surgery,null,null,null,null
null,null,fracture,null,null
null,therapy,null,null,null
null,null,fracture,null,null
null,stabilized,null,null,null
null,null,fracture,null,null
null,removal,null,null,null
null,Removal,null,null,null
null,null,fracture,null,null
null,removal,null,null,null
null,treatment,null,null,null
null,null,fractures,null,null
null,null,fractures,null,null
null,null,fractures,null,null
null,null,qualities,null,null
null,therapy,null,null,null
null,null,fracture,null,null
null,therapy,null,null,null
null,null,osteoporosis,null,null
null,null,fractures,null,null
null,null,fractures,null,null
null,removal,null,null,null
null,null,null,null,General
null,QC,null,null,null
null,null,bardia.barimani@mail.mcgill.ca,null,null
null,null,monika.volesky@mcgill.ca,null,null
null,null,https://doi.org/10.1016/j.tcr.2020.100290,null,null
null,null,null,2352,null
null,null,null,BY-NC,null
null,null,Trauma,null,null
null,null,null,x-ray,null
null,null,fracture,null,null
null,therapy,null,null,null
null,null,fracture,null,null
null,null,fracture,null,null
null,null,pain,null,null
null,null,fracture,null,null
null,null,treated,null,null
null,null,Trauma,null,null
null,null,fracture,null,null
null,examination,null,null,null
null,null,trauma,null,null
null,null,loss,null,null
null,null,null,x-ray,null
null,null,fracture,null,null
null,removal,null,null,null
null,removal,null,null,null
null,removal,null,null,null
null,null,direction,null,null
null,applied,null,null,null
null,null,fracture,null,null
null,null,null,x-ray,null
null,null,fracture,null,null
null,null,fracture,null,null
null,applied,null,null,null
null,removal,null,null,null
null,removal,null,null,null
bypass,null,null,null,null
null,null,fracture,null,null
null,null,null,x-ray,null
null,management,null,null,null
null,null,fracture,null,null
null,treatment,null,null,null
null,therapy,null,null,null
null,null,null,x-ray,null
null,null,fracture,null,null
null,null,fracture,null,null
null,null,pre-,null,null
null,null,pain,null,null
null,null,null,x-ray,null
null,imaging,null,null,null
null,null,fracture,null,null
null,null,pre-,null,null
null,null,fracture,null,null
null,null,pain,null,null
null,removal,null,null,null
null,removal,null,null,null
null,null,fracture,null,null
null,removal,null,null,null
null,removal,null,null,null
null,null,fractures,null,null
null,treatment,null,null,null
null,null,pain,null,null
null,null,A.B.,null,null
null,null,Trauma,null,null
null,null,null,x-ray,null
null,null,fractures,null,null
null,null,tertrate,null,null
null,null,impaired,null,null
null,‘,null,null,null
null,’,null,null,null
null,null,fractures,null,null
null,null,pain,null,null
null,null,fractures,null,null
null,null,fractures,null,null
null,null,null,BP,null
null,null,fractures,null,null
null,null,fractures,null,null
null,null,Fur-,null,null
null,null,null,CT,null
null,imaging,null,null,null
null,null,fractures,null,null
null,null,fractures,null,null
null,null,Trauma,null,null
null,null,Trauma,null,null
null,null,null,x-ray,null
null,repair,null,null,null
null,imaging,null,null,null
null,null,fractures,null,null
null,MRI,null,null,null
null,null,fractures,null,null
null,management,null,null,null
null,null,fractures,null,null
null,therapy,null,null,null
null,null,fractures,null,null
null,null,engross,null,null
null,removal,null,null,null
null,management,null,null,null
null,removal,null,null,null
null,null,ensure,null,null
null,null,fractures,null,null
null,removal,null,null,null
null,treatment,null,null,null
null,R.,null,null,null
null,null,fractures,null,null
null,null,Jaglal,null,null
null,null,P.,null,null
null,null,fracture,null,null
null,null,fractures,null,null
null,null,P.L.,null,null
null,null,D.,null,null
null,null,fractures,null,null
null,treatment,null,null,null
null,null,fractures,null,null
null,null,Trauma,null,null
null,null,https://doi.org/10.1097/TA.0b013e3182213c6e,null,null
null,B.M.,null,null,null
null,null,fracture,null,null
null,removal,null,null,null
null,null,null,(2012),null
null,null,fracture,null,null
null,therapy,null,null,null
null,null,313–318,null,null
null,null,osteoporosis,null,null
null,null,1947,null,null
null,J.S.B.,null,null,null
null,null,null,T.S.,null
null,null,fractures,null,null
null,therapy,null,null,null
null,null,Injury,null,null
null,https://doi.org/10.1016/j.injury.2007.08.036,null,null,null
null,null,fractures,null,null
null,null,N.,null,null
