B-PI,B-GOAL,B-IM,B-SurgicalProcedure
Trauma,null,null,null
Trauma,null,null,null
trauma,null,null,null
Trauma,null,null,null
null,null,null,Surgery
Trauma,null,null,null
Trauma,null,null,null
injury,null,null,null
hemoperitoneum,null,null,null
null,null,null,surgery
null,null,null,nephrectomy
injury,null,null,null
null,null,null,Surgery
Trauma,null,null,null
trauma,null,null,null
injury,null,null,null
hemoperitoneum,null,null,null
null,null,null,surgery
null,null,null,nephrectomy
null,null,null,Surgery
Trauma,null,null,null
trauma,null,null,null
trauma,null,null,null
null,null,null,gastrectomy
null,examination,null,null
tenderness,null,null,null
distension,null,null,null
null,null,sonography,null
trauma,null,null,null
null,null,(CT),null
hematoma,null,null,null
hematoma,null,null,null
injury,null,null,null
fractures,null,null,null
pneumothorax,null,null,null
null,null,null,thoracostomy
Trauma,null,null,null
null,null,null,Surgery
Trauma,null,null,null
Korea,null,null,null
null,null,2352,null
null,null,BY-NC,null
Trauma,null,null,null
null,null,CT,null
injury,null,null,null
hematoma,null,null,null
hemoperitoneum,null,null,null
null,null,null,laparotomy
distension,null,null,null
null,null,null,surgery
injury,null,null,null
null,null,null,nephrectomy
null,null,null,anatomy
null,null,CT,null
injury,null,null,null
hematoma,null,null,null
hematoma,null,null,null
hematoma,null,null,null
Trauma,null,null,null
injury,null,null,null
null,null,null,nephrectomy
parenchymal,null,null,null
hematoma,null,null,null
Trauma,null,null,null
null,null,null,anatomy
injury,null,null,null
hemoperitoneum,null,null,null
null,null,null,surgery
injury,null,null,null
null,null,null,nephrectomy
injury,null,null,null
hemoperitoneum,null,null,null
null,null,angiographic,null
hematoma,null,null,null
null,treatment,null,null
injury,null,null,null
injury,null,null,null
null,null,null,anatomy
null,imaging,null,null
null,management,null,null
L.,null,null,null
F.,null,null,null
O.,null,null,null
N.,null,null,null
null,null,angiographic,null
null,evaluation,null,null
N.,null,null,null
799–804,null,null,null
https://doi.org/10.1007/s00276-012-0968-1,null,null,null
R.C.,null,null,null
null,null,28660086,null
PMCID,null,null,null
null,3288769,null,null
null,null,Murphy,null
null,null,(2012),null
null,01.056,null,null
D.,null,null,null
P.,null,null,null
J.C.,null,null,null
40th,null,null,null
O.C.,null,null,null
null,Imaging,null,null
trauma,null,null,null
null,https://doi.org/10.1148/radiographics.21.3.g01ma11557,null,null
J.L.,null,null,null
N.,null,null,null
injury,null,null,null
null,management,null,null
extravasation,null,null,null
Umbreit,null,null,null
J.C.,null,null,null
null,management,null,null
trauma,null,null,null
