B-IM,B-GOAL,B-PI,B-SurgicalProcedure
null,null,Trauma,null
null,null,Trauma,null
null,null,injury,null
null,null,null,Surgery
null,null,injuries,null
null,null,injuries,null
null,null,injuries,null
null,null,injury,null
null,removal,null,null
null,null,injury,null
null,null,injuries,null
null,null,trauma,null
null,null,trauma,null
null,null,null,surgery
laparoscopy,null,null,null
null,null,injuries,null
null,null,injuries,null
null,null,Penetrating,null
null,null,injuries,null
null,null,injuries,null
null,null,injuries,null
null,null,trauma,null
null,null,injury,null
null,null,injury,null
null,null,loss,null
null,null,injury,null
null,removal,null,null
null,null,tenderness,null
null,examination,null,null
(CT),null,null,null
null,null,hematoma,null
radiograph,null,null,null
CT,null,null,null
null,null,leakage,null
null,null,null,laparotomy
null,null,injury,null
null,null,hematoma,null
null,null,injury,null
null,null,null,Surgery
null,null,Korea,null
2352,null,null,null
BY-NC,null,null,null
null,null,Trauma,null
CT,null,null,null
null,null,hematoma,null
null,null,pain,null
null,null,pain,null
CT,null,null,null
null,null,hematoma,null
null,null,injured,null
null,null,pain,null
null,drainage,null,null
graphy,null,null,null
null,diagnosis,null,null
null,null,injury,null
null,null,hematuria,null
null,null,trauma,null
null,null,injuries,null
null,Imaging,null,null
null,null,injury,null
pyelography,null,null,null
null,imaging,null,null
null,null,injury,null
null,null,trauma,null
null,null,injuries,null
ultrasound,null,null,null
null,null,trauma,null
null,null,Trauma,null
X-ray,null,null,null
null,null,leakage,null
null,null,injuries,null
CT,null,null,null
CT,null,null,null
null,null,injuries,null
null,null,injuries,null
CT,null,null,null
CT,null,null,null
null,imaging,null,null
null,null,injury,null
CT,null,null,null
null,null,extravasation,null
CT,null,null,null
null,null,injury,null
null,null,trauma,null
CT,null,null,null
null,null,trauma,null
null,null,trauma,null
CT,null,null,null
CT,null,null,null
CT,null,null,null
null,null,trauma,null
radiograph,null,null,null
null,null,injury,null
radiograph,null,null,null
null,null,leakage,null
null,repair,null,null
null,drainage,null,null
null,Management,null,null
null,null,depend,null
null,null,injury,null
null,null,injuries,null
null,null,principals,null
null,null,Trauma,null
null,null,injury,null
null,null,injury,null
null,null,misdiagnosis,null
null,null,injuries,null
null,null,injury,null
radiographs,null,null,null
null,null,injury,null
null,null,injury,null
null,null,injury,null
null,null,Trauma,null
null,null,trauma,null
null,null,mechanisms,null
null,null,injury,null
null,null,N.,null
null,null,N.,null
null,null,injuries,null
null,null,trauma,null
null,null,injuries,null
null,management,null,null
null,null,N.,null
null,management,null,null
null,null,injury,null
null,null,L.,null
null,null,L.,null
null,null,R.A.,null
null,null,trauma,null
null,null,Penetrating,null
null,null,trauma,null
null,null,trauma,null
S.C.,null,null,null
Jacobs,null,null,null
null,null,injury,null
null,null,penetrating,null
null,null,trauma,null
null,null,disruption,null
null,null,opaciﬁcation,null
null,null,disruption,null
CT,null,null,null
S.L.,null,null,null
null,J.P.,null,null
null,evaluation,null,null
null,null,trauma,null
null,J.P.,null,null
null,null,disruption,null
null,null,trauma,null
null,imaging,null,null
C.B.,null,null,null
null,null,injury,null
null,null,penetrating,null
null,null,trauma,null
null,null,P.,null
null,null,P.,null
null,null,H.C.,null
CT,null,null,null
null,null,injuries,null
null,null,BMC,null
null,null,Urotrauma,null
